elapsed_seconds,power_watts,gpu_clock_mhz,mem_clock_mhz,temperature_c
0.002,66.23,1320,1215,29
0.012,66.23,1320,1215,29
0.023,66.23,1320,1215,29
0.033,66.23,1320,1215,29
0.043,66.23,1320,1215,29
0.053,66.23,1320,1215,29
0.063,66.23,1320,1215,29
0.074,66.23,1320,1215,29
0.084,66.23,1320,1215,29
0.094,66.23,1320,1215,29
0.104,70.29,1320,1215,29
0.114,70.29,1320,1215,29
0.125,70.29,1320,1215,29
0.135,70.29,1320,1215,29
0.145,70.29,1320,1215,29
0.155,70.29,1320,1215,29
0.165,70.29,1320,1215,29
0.176,70.29,1320,1215,29
0.186,70.29,1320,1215,29
0.196,70.29,1320,1215,29
0.206,65.36,1320,1215,29
0.216,65.36,1320,1215,29
0.227,65.36,1320,1215,29
0.237,65.36,1320,1215,29
0.247,65.36,1320,1215,29
0.257,65.36,1320,1215,29
0.267,65.36,1320,1215,29
0.278,65.36,1320,1215,29
0.288,65.36,1320,1215,29
0.298,65.64,1320,1215,29
0.308,65.64,1320,1215,29
0.318,65.64,1320,1215,29
0.329,65.64,1320,1215,29
0.339,65.64,1320,1215,29
0.349,65.64,1320,1215,29
0.359,65.64,1320,1215,29
0.369,65.64,1320,1215,29
0.38,65.64,1320,1215,29
0.39,65.64,1320,1215,29
0.4,65.64,1320,1215,29
0.41,65.64,1320,1215,29
0.421,65.64,1320,1215,29
0.431,65.64,1320,1215,29
0.441,65.64,1320,1215,29
0.451,65.64,1320,1215,29
0.461,65.64,1320,1215,29
0.472,65.64,1320,1215,29
0.482,65.64,1320,1215,29
0.492,65.64,1320,1215,29
0.502,65.36,1320,1215,29
0.512,65.36,1320,1215,29
0.522,65.36,1320,1215,29
0.533,65.36,1320,1215,29
0.543,65.36,1320,1215,29
0.553,65.36,1320,1215,29
0.563,65.36,1320,1215,29
0.574,65.36,1320,1215,29
0.584,65.36,1320,1215,29
0.594,65.36,1320,1215,29
0.604,65.64,1320,1215,29
0.614,65.64,1320,1215,29
0.625,65.64,1320,1215,29
0.635,65.64,1320,1215,29
0.645,65.64,1320,1215,29
0.655,65.64,1320,1215,29
0.666,65.64,1320,1215,29
0.676,65.64,1320,1215,29
0.686,65.64,1320,1215,29
0.696,65.64,1320,1215,29
0.706,65.36,1320,1215,29
0.717,65.36,1320,1215,29
0.727,65.36,1320,1215,29
0.737,65.36,1320,1215,29
0.747,65.36,1320,1215,29
0.757,65.36,1320,1215,29
0.768,65.36,1320,1215,29
0.778,65.36,1320,1215,29
0.788,65.36,1320,1215,29
0.798,65.36,1320,1215,29
0.809,65.36,1320,1215,29
0.819,65.36,1320,1215,29
0.829,65.36,1320,1215,29
0.839,65.36,1320,1215,29
0.849,65.36,1320,1215,29
0.86,65.36,1320,1215,29
0.87,65.36,1320,1215,29
0.88,65.36,1320,1215,29
0.89,65.36,1320,1215,29
0.9,65.36,1320,1215,29
0.911,65.36,1320,1215,29
0.921,65.36,1320,1215,29
0.931,65.36,1320,1215,29
0.941,65.36,1320,1215,29
0.951,65.36,1320,1215,29
0.962,65.36,1320,1215,29
0.972,65.36,1320,1215,29
0.982,65.36,1320,1215,29
0.992,65.36,1320,1215,29
1.002,65.36,1320,1215,29
1.013,65.36,1320,1215,29
1.023,65.36,1320,1215,29
1.033,65.36,1320,1215,29
1.043,65.36,1320,1215,29
1.053,65.36,1320,1215,29
1.064,65.36,1320,1215,29
1.074,65.36,1320,1215,29
1.084,65.36,1320,1215,29
1.094,65.36,1320,1215,29
1.104,65.36,1320,1215,29
1.115,65.36,1320,1215,29
1.125,65.36,1320,1215,29
1.135,65.36,1320,1215,29
1.145,65.36,1320,1215,29
1.155,65.36,1320,1215,29
1.166,65.36,1320,1215,29
1.176,65.36,1320,1215,29
1.186,65.36,1320,1215,29
1.196,65.36,1320,1215,29
1.206,65.36,1320,1215,29
1.217,65.36,1320,1215,29
1.227,65.36,1320,1215,29
1.237,65.36,1320,1215,29
1.247,65.36,1320,1215,29
1.257,65.36,1320,1215,29
1.268,65.36,1320,1215,29
1.278,65.36,1320,1215,29
1.288,65.36,1320,1215,29
1.298,65.36,1320,1215,29
1.308,65.36,1320,1215,29
1.319,65.36,1320,1215,29
1.329,65.36,1320,1215,29
1.339,65.36,1320,1215,29
1.349,65.36,1320,1215,29
1.359,65.36,1320,1215,29
1.37,65.36,1320,1215,29
1.38,65.36,1320,1215,29
1.39,65.36,1320,1215,29
1.4,65.36,1320,1215,29
1.41,65.36,1320,1215,29
1.421,65.36,1320,1215,29
1.431,65.36,1320,1215,29
1.441,65.36,1320,1215,29
1.451,65.36,1320,1215,29
1.461,65.36,1320,1215,29
1.472,65.36,1320,1215,29
1.482,65.36,1320,1215,29
1.492,65.36,1320,1215,29
1.502,65.36,1320,1215,29
1.512,65.36,1320,1215,29
1.523,65.36,1320,1215,29
1.533,65.36,1320,1215,29
1.543,65.36,1320,1215,29
