bucket_start_s,bucket_end_s,kernel_name,count,total_duration_ms,avg_duration_us
0.0,1.0,ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_64x3_nn,60,1012.353562,16872.55936666667
0.0,1.0,[CUDA memset],30,0.087392,2.9130666666666665
1.0,2.0,ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_64x3_nn,63,1001.198383,15892.037825396827
1.0,2.0,[CUDA memset],31,0.08579100000000003,2.767451612903227
2.0,3.0,ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_64x3_nn,67,993.518948,14828.641014925373
2.0,3.0,[CUDA memset],34,0.08515099999999998,2.504441176470588
3.0,4.0,ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_64x3_nn,67,993.4963369999999,14828.303537313432
3.0,4.0,[CUDA memset],33,0.08287899999999998,2.511484848484848
4.0,5.0,ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_64x3_nn,68,1008.4431880000001,14830.046882352943
4.0,5.0,[CUDA memset],34,0.08825600000000003,2.595764705882354
5.0,6.0,ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_64x3_nn,67,993.5231139999999,14828.703194029848
5.0,6.0,[CUDA memset],34,0.08790399999999998,2.585411764705882
6.0,7.0,ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_64x3_nn,67,993.5067480000004,14828.45892537314
6.0,7.0,[CUDA memset],33,0.08265499999999996,2.5046969696969685
7.0,8.0,ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_64x3_nn,68,1008.451759,14830.17292647059
7.0,8.0,[CUDA memset],34,0.08579100000000003,2.523264705882354
8.0,9.0,ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_64x3_nn,67,993.6871770000001,14831.151895522391
8.0,9.0,[CUDA memset],34,0.08857500000000001,2.6051470588235297
9.0,10.0,ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_64x3_nn,68,1008.792465,14835.183308823529
9.0,10.0,[CUDA memset],34,0.08713499999999998,2.562794117647058
10.0,11.0,ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_64x3_nn,38,564.1924869999999,14847.170710526314
10.0,11.0,[CUDA memset],19,0.048032,2.528
