elapsed_seconds,power_watts,gpu_clock_mhz,mem_clock_mhz,temperature_c
0.001,58.6,1095,1215,25
0.012,58.6,1095,1215,25
0.022,58.6,1095,1215,25
0.032,58.6,1095,1215,25
0.042,58.6,1095,1215,25
0.052,58.6,1095,1215,25
0.063,58.6,1095,1215,25
0.073,58.6,1095,1215,25
0.083,58.6,1095,1215,25
0.093,56.28,1095,1215,25
0.103,56.28,1095,1215,25
0.113,56.28,1095,1215,25
0.124,56.28,1095,1215,25
0.134,56.28,1095,1215,25
0.144,56.28,1095,1215,25
0.154,56.28,1095,1215,25
0.164,56.28,1095,1215,25
0.175,56.28,1095,1215,25
0.185,56.28,1095,1215,25
0.195,56.28,1095,1215,25
0.205,56.28,1095,1215,25
0.215,56.28,1095,1215,25
0.225,56.28,1095,1215,25
0.236,56.28,1095,1215,25
0.246,56.28,1095,1215,25
0.256,56.28,1095,1215,25
0.266,56.28,1095,1215,25
0.276,56.28,1095,1215,25
0.286,56.28,1095,1215,25
0.297,56.28,1095,1215,25
0.307,56.28,1095,1215,25
0.317,56.28,1095,1215,25
0.327,56.28,1095,1215,25
0.337,56.28,1095,1215,25
0.348,56.28,1095,1215,25
0.358,56.28,1095,1215,25
0.368,56.28,1095,1215,25
0.378,56.28,1095,1215,25
0.388,56.28,1095,1215,25
0.399,56.28,1095,1215,25
0.409,56.28,1095,1215,25
0.419,56.28,1095,1215,25
0.429,56.28,1095,1215,25
0.439,56.28,1095,1215,25
0.449,56.28,1095,1215,25
0.46,56.28,1095,1215,25
0.47,56.28,1095,1215,25
0.48,56.28,1095,1215,25
0.49,56.87,1095,1215,25
0.5,56.87,1095,1215,25
0.511,56.87,1095,1215,25
0.521,56.87,1095,1215,25
0.531,56.87,1095,1215,25
0.541,56.87,1095,1215,25
0.551,56.87,1095,1215,25
0.561,56.87,1095,1215,25
0.572,56.87,1095,1215,25
0.582,56.87,1095,1215,25
0.592,56.28,1095,1215,25
0.602,56.28,1095,1215,25
0.612,56.28,1095,1215,25
0.623,56.28,1095,1215,25
0.633,56.28,1095,1215,25
0.643,56.28,1095,1215,25
0.653,56.28,1095,1215,25
0.663,56.28,1095,1215,25
0.674,56.28,1095,1215,25
0.684,56.28,1095,1215,25
0.694,56.6,1095,1215,25
0.704,56.6,1095,1215,25
0.714,56.6,1095,1215,25
0.724,56.6,1095,1215,25
0.735,56.6,1095,1215,25
0.745,56.6,1095,1215,25
0.755,56.6,1095,1215,25
0.765,56.6,1095,1215,25
0.775,56.6,1095,1215,25
0.786,56.6,1095,1215,25
0.796,56.6,1095,1215,25
0.806,56.6,1095,1215,25
0.816,56.6,1095,1215,25
0.826,56.6,1095,1215,25
0.836,56.6,1095,1215,25
0.847,56.6,1095,1215,25
0.857,56.6,1095,1215,25
0.867,56.6,1095,1215,25
0.877,56.6,1095,1215,25
0.887,56.28,1095,1215,25
0.898,56.28,1095,1215,25
0.908,56.28,1095,1215,25
0.918,56.28,1095,1215,25
0.928,56.28,1095,1215,25
0.938,56.28,1095,1215,25
0.948,56.28,1095,1215,25
0.959,56.28,1095,1215,25
0.969,56.28,1095,1215,25
0.979,56.28,1095,1215,25
0.989,56.28,1095,1215,25
0.999,56.28,1095,1215,25
1.01,56.28,1095,1215,25
1.02,56.28,1095,1215,25
1.03,56.28,1095,1215,25
1.04,56.28,1095,1215,25
1.05,56.28,1095,1215,25
1.061,56.28,1095,1215,25
1.071,56.28,1095,1215,25
1.081,56.28,1095,1215,25
1.091,56.28,1095,1215,25
1.101,56.28,1095,1215,25
1.111,56.28,1095,1215,25
1.122,56.28,1095,1215,25
1.132,56.28,1095,1215,25
1.142,56.28,1095,1215,25
1.152,56.28,1095,1215,25
1.162,56.28,1095,1215,25
1.173,56.28,1095,1215,25
1.183,56.28,1095,1215,25
1.193,56.28,1095,1215,25
1.203,56.28,1095,1215,25
