elapsed_seconds,power_watts,gpu_clock_mhz,mem_clock_mhz
0.0,392.08,1290,1215
0.01,392.08,1290,1215
0.021,392.08,1290,1215
0.031,392.08,1290,1215
0.041,392.08,1290,1215
0.051,392.08,1290,1215
0.061,392.08,1290,1215
0.071,392.08,1290,1215
0.082,392.08,1290,1215
0.092,392.08,1275,1215
0.102,402.71,1275,1215
0.112,402.71,1275,1215
0.122,402.71,1275,1215
0.133,402.71,1275,1215
0.143,402.71,1275,1215
0.153,402.71,1275,1215
0.163,402.71,1275,1215
0.173,402.71,1275,1215
0.183,402.71,1275,1215
0.194,402.71,1290,1215
0.204,382.26,1290,1215
0.214,382.26,1290,1215
0.224,382.26,1290,1215
0.234,382.26,1290,1215
0.245,382.26,1290,1215
0.255,382.26,1290,1215
0.265,382.26,1290,1215
0.275,382.26,1290,1215
0.286,382.26,1290,1215
0.296,403.46,1290,1215
0.306,403.46,1290,1215
0.316,403.46,1290,1215
0.326,403.46,1290,1215
0.337,403.46,1290,1215
0.347,403.46,1290,1215
0.357,403.46,1290,1215
0.367,403.46,1290,1215
0.378,403.46,1290,1215
0.388,403.46,1290,1215
0.398,405.34,1290,1215
0.408,405.34,1290,1215
0.419,405.34,1290,1215
0.429,405.34,1290,1215
0.439,405.34,1290,1215
0.449,405.34,1290,1215
0.459,405.34,1290,1215
0.47,405.34,1290,1215
0.48,405.34,1290,1215
0.49,405.44,1290,1215
0.5,405.44,1290,1215
0.51,405.44,1290,1215
0.52,405.44,1290,1215
0.53,405.44,1290,1215
0.541,405.44,1290,1215
0.551,405.44,1290,1215
0.561,405.44,1290,1215
0.571,405.44,1290,1215
0.581,405.44,1290,1215
0.592,404.91,1290,1215
0.602,404.91,1290,1215
0.612,404.91,1290,1215
0.622,404.91,1290,1215
0.632,404.91,1290,1215
0.642,404.91,1290,1215
0.652,404.91,1290,1215
0.663,404.91,1290,1215
0.673,404.91,1290,1215
0.683,404.91,1290,1215
0.693,404.91,1290,1215
0.703,404.91,1290,1215
0.713,404.91,1290,1215
0.723,404.91,1290,1215
0.733,404.91,1290,1215
0.743,404.91,1290,1215
0.753,404.91,1290,1215
0.764,404.91,1290,1215
0.774,404.91,1290,1215
0.784,404.91,1290,1215
0.794,404.48,1290,1215
0.804,404.48,1290,1215
0.814,404.48,1290,1215
0.825,404.48,1290,1215
0.835,404.48,1290,1215
0.845,404.48,1290,1215
0.855,404.48,1290,1215
0.865,404.48,1290,1215
0.875,404.48,1290,1215
0.886,404.48,1290,1215
0.896,404.16,1290,1215
0.906,404.16,1290,1215
0.916,404.16,1290,1215
0.926,404.16,1290,1215
0.937,404.16,1290,1215
0.947,404.16,1290,1215
0.957,404.16,1290,1215
0.967,404.16,1290,1215
0.977,404.16,1290,1215
0.988,404.16,1290,1215
0.998,404.31,1290,1215
1.008,404.31,1290,1215
1.018,404.31,1290,1215
1.028,404.31,1290,1215
1.039,404.31,1290,1215
1.049,404.31,1290,1215
1.059,404.31,1290,1215
1.069,404.31,1290,1215
1.079,404.31,1290,1215
1.09,402.71,1290,1215
1.1,402.71,1290,1215
1.11,402.71,1290,1215
1.12,402.71,1290,1215
1.13,402.71,1290,1215
1.14,402.71,1290,1215
1.15,402.71,1290,1215
1.161,402.71,1290,1215
1.171,402.71,1290,1215
1.181,402.71,1290,1215
1.191,402.44,1290,1215
1.201,402.44,1290,1215
1.211,402.44,1290,1215
1.221,402.44,1290,1215
1.232,402.44,1290,1215
1.242,402.44,1290,1215
1.252,402.44,1290,1215
1.262,402.44,1290,1215
1.272,402.44,1290,1215
1.282,402.44,1290,1215
1.292,402.17,1290,1215
1.303,402.17,1290,1215
1.313,402.17,1290,1215
1.323,402.17,1290,1215
1.333,402.17,1290,1215
1.343,402.17,1290,1215
1.353,402.17,1290,1215
1.363,402.17,1290,1215
1.374,402.17,1290,1215
1.384,402.17,1290,1215
1.394,393.21,1290,1215
1.404,393.21,1290,1215
1.414,393.21,1290,1215
1.424,393.21,1290,1215
1.435,393.21,1290,1215
1.445,393.21,1290,1215
1.455,393.21,1290,1215
1.465,393.21,1290,1215
1.475,393.21,1290,1215
1.485,393.21,1290,1215
1.496,400.73,1290,1215
1.506,400.73,1290,1215
1.516,400.73,1290,1215
1.526,400.73,1290,1215
1.536,400.73,1290,1215
1.552,400.73,1290,1215
1.562,400.73,1290,1215
1.572,400.73,1290,1215
1.582,400.73,1290,1215
1.592,400.73,1290,1215
1.602,400.73,1290,1215
1.613,400.73,1290,1215
1.623,400.73,1290,1215
1.638,400.73,1290,1215
1.648,400.73,1290,1215
1.659,400.73,1290,1215
1.669,400.73,1290,1215
1.679,400.73,1290,1215
1.692,399.28,1290,1215
1.702,399.28,1290,1215
1.712,399.28,1290,1215
1.722,399.28,1290,1215
