elapsed_seconds,power_watts,gpu_clock_mhz,mem_clock_mhz
0.0,399.28,1290,1215
0.011,399.28,1290,1215
0.021,399.28,1290,1215
0.031,399.28,1290,1215
0.041,399.28,1290,1215
0.051,399.28,1290,1215
0.061,399.28,1290,1215
0.072,399.28,1290,1215
0.082,399.28,1290,1215
0.092,347.91,1290,1215
0.102,347.91,1290,1215
0.112,347.91,1290,1215
0.123,347.91,1290,1215
0.133,347.91,1290,1215
0.143,347.91,1290,1215
0.153,347.91,1290,1215
0.163,347.91,1290,1215
0.173,347.91,1290,1215
0.184,347.91,1290,1215
0.194,395.79,1290,1215
0.204,395.79,1290,1215
0.214,395.79,1290,1215
0.224,395.79,1290,1215
0.235,395.79,1290,1215
0.245,395.79,1290,1215
0.255,395.79,1290,1215
0.265,395.79,1290,1215
0.275,395.79,1290,1215
0.285,395.79,1290,1215
0.296,399.01,1290,1215
0.306,399.01,1290,1215
0.316,399.01,1290,1215
0.326,399.01,1290,1215
0.338,399.01,1290,1215
0.349,399.01,1290,1215
0.359,399.01,1290,1215
0.375,399.01,1290,1215
0.385,399.01,1290,1215
0.395,384.25,1290,1215
0.405,384.25,1290,1215
0.416,384.25,1290,1215
0.426,384.25,1290,1215
0.436,384.25,1290,1215
0.446,384.25,1290,1215
0.457,384.25,1290,1215
0.467,384.25,1290,1215
0.477,384.25,1290,1215
0.487,384.25,1290,1215
0.497,387.15,1290,1215
0.508,387.15,1290,1215
0.518,387.15,1290,1215
0.528,387.15,1290,1215
0.538,387.15,1290,1215
0.549,387.15,1290,1215
0.559,387.15,1290,1215
0.569,387.15,1290,1215
0.579,387.15,1290,1215
0.589,387.15,1290,1215
0.599,400.4,1290,1215
0.61,400.4,1290,1215
0.62,400.4,1290,1215
0.63,400.4,1290,1215
0.64,400.4,1290,1215
0.65,400.4,1290,1215
0.66,400.4,1290,1215
0.671,400.4,1290,1215
0.681,400.4,1290,1215
0.691,400.4,1290,1215
0.701,400.13,1290,1215
0.711,400.13,1290,1215
0.721,400.13,1290,1215
0.732,400.13,1290,1215
0.742,400.13,1290,1215
0.752,400.13,1290,1215
0.762,400.13,1290,1215
0.772,400.13,1290,1215
0.782,400.13,1290,1215
0.792,396.97,1290,1215
0.802,396.97,1290,1215
0.813,396.97,1290,1215
0.823,396.97,1290,1215
0.833,396.97,1290,1215
0.843,396.97,1290,1215
0.853,396.97,1290,1215
0.863,396.97,1290,1215
0.874,396.97,1290,1215
0.884,396.97,1290,1215
0.894,395.79,1290,1215
0.904,395.79,1290,1215
0.914,395.79,1290,1215
0.924,395.79,1290,1215
0.934,395.79,1290,1215
0.944,395.79,1290,1215
0.954,395.79,1290,1215
0.965,395.79,1290,1215
0.975,395.79,1290,1215
0.985,395.79,1290,1215
0.995,393.48,1290,1215
1.005,393.48,1290,1215
1.015,393.48,1290,1215
1.025,393.48,1290,1215
1.039,393.48,1290,1215
1.049,393.48,1290,1215
1.059,393.48,1290,1215
1.069,393.48,1290,1215
1.079,393.48,1290,1215
1.089,393.48,1290,1215
1.1,392.35,1290,1215
1.11,392.35,1290,1215
1.12,392.35,1290,1215
1.13,392.35,1290,1215
1.14,392.35,1290,1215
1.15,392.35,1290,1215
1.161,392.35,1290,1215
1.171,392.35,1290,1215
1.181,392.35,1290,1215
1.191,392.35,1290,1215
1.201,387.29,1290,1215
1.211,387.29,1290,1215
1.222,387.29,1290,1215
1.232,387.29,1290,1215
1.242,387.29,1290,1215
1.252,387.29,1290,1215
1.262,387.29,1290,1215
1.272,387.29,1290,1215
1.282,387.29,1290,1215
1.292,387.29,1290,1215
1.302,388.86,1290,1215
1.312,388.86,1290,1215
1.323,388.86,1290,1215
1.333,388.86,1290,1215
1.343,388.86,1290,1215
1.353,388.86,1290,1215
1.363,388.86,1290,1215
1.374,388.86,1290,1215
1.384,388.86,1290,1215
1.394,388.86,1290,1215
1.404,402.27,1290,1215
1.414,402.27,1290,1215
1.424,402.27,1290,1215
1.435,402.27,1290,1215
1.445,402.27,1290,1215
1.455,402.27,1290,1215
1.465,402.27,1290,1215
1.475,402.27,1290,1215
1.485,402.27,1290,1215
1.495,398.42,1290,1215
1.506,398.42,1290,1215
1.516,398.42,1290,1215
1.526,398.42,1290,1215
1.536,398.42,1290,1215
1.546,398.42,1290,1215
1.557,398.42,1290,1215
1.567,398.42,1290,1215
1.577,398.42,1290,1215
1.587,398.42,1290,1215
1.597,398.42,1290,1215
1.607,398.42,1290,1215
1.617,398.42,1290,1215
1.628,398.42,1290,1215
1.638,398.42,1290,1215
1.648,398.42,1290,1215
1.658,398.42,1290,1215
1.668,398.42,1290,1215
1.678,398.42,1290,1215
1.689,398.42,1290,1215
1.699,394.07,1290,1215
1.709,394.07,1290,1215
1.719,394.07,1290,1215
1.729,394.07,1290,1215
1.739,394.07,1290,1215
1.749,394.07,1290,1215
1.76,394.07,1290,1215
