elapsed_seconds,power_watts,gpu_clock_mhz,mem_clock_mhz
0.0,318.83,1410,1215
0.01,318.83,1410,1215
0.021,318.83,1410,1215
0.031,318.83,1410,1215
0.041,318.83,1410,1215
0.051,311.04,1410,1215
0.062,311.04,1410,1215
0.072,311.04,1410,1215
0.082,311.04,1410,1215
0.092,311.04,1410,1215
0.103,311.04,1410,1215
0.113,311.04,1410,1215
0.123,311.04,1410,1215
0.133,311.04,1410,1215
0.143,311.04,1410,1215
0.153,319.69,1410,1215
0.164,319.69,1410,1215
0.174,319.69,1410,1215
0.184,319.69,1410,1215
0.194,319.69,1410,1215
0.204,319.69,1410,1215
0.214,319.69,1410,1215
0.225,319.69,1410,1215
0.235,319.69,1410,1215
0.245,319.69,1410,1215
0.255,318.83,1410,1215
0.265,318.83,1410,1215
0.275,318.83,1410,1215
0.286,318.83,1410,1215
0.296,318.83,1410,1215
0.306,318.83,1410,1215
0.316,318.83,1410,1215
0.326,318.83,1410,1215
0.337,318.83,1410,1215
0.347,318.83,1410,1215
0.357,314.74,1410,1215
0.367,314.74,1410,1215
0.377,314.74,1410,1215
0.388,314.74,1410,1215
0.398,314.74,1410,1215
0.408,314.74,1410,1215
0.418,314.74,1410,1215
0.428,314.74,1410,1215
0.438,314.74,1410,1215
0.448,314.74,1410,1215
0.458,318.17,1410,1215
0.469,318.17,1410,1215
0.479,318.17,1410,1215
0.489,318.17,1410,1215
0.499,318.17,1410,1215
0.509,318.17,1410,1215
0.52,318.17,1410,1215
0.53,318.17,1410,1215
0.54,318.17,1410,1215
0.55,311.9,1410,1215
0.56,311.9,1410,1215
0.57,311.9,1410,1215
0.581,311.9,1410,1215
0.591,311.9,1410,1215
0.601,311.9,1410,1215
0.611,311.9,1410,1215
0.621,311.9,1410,1215
0.632,311.9,1410,1215
0.642,311.9,1410,1215
0.652,318.84,1410,1215
0.662,318.84,1410,1215
0.672,318.84,1410,1215
0.683,318.84,1410,1215
0.693,318.84,1410,1215
0.703,318.84,1410,1215
0.713,318.84,1410,1215
0.723,318.84,1410,1215
0.733,318.84,1410,1215
0.744,318.84,1410,1215
0.754,315.93,1410,1215
0.764,315.93,1410,1215
0.774,315.93,1410,1215
0.784,315.93,1410,1215
0.795,315.93,1410,1215
0.805,315.93,1410,1215
0.815,315.93,1410,1215
