elapsed_seconds,power_watts,gpu_clock_mhz,mem_clock_mhz
0.0,409.36,1290,1215
0.011,409.36,1290,1215
0.021,409.36,1290,1215
0.031,394.48,1305,1215
0.041,394.48,1305,1215
0.051,394.48,1305,1215
0.061,394.48,1305,1215
0.072,394.48,1305,1215
0.082,394.48,1305,1215
0.092,394.48,1305,1215
0.102,394.48,1305,1215
0.112,394.48,1305,1215
0.123,394.48,1305,1215
0.133,415.27,1290,1215
0.143,415.27,1290,1215
0.153,415.27,1290,1215
0.163,415.27,1290,1215
0.174,415.27,1290,1215
0.184,415.27,1290,1215
0.194,415.27,1290,1215
0.204,415.27,1290,1215
0.214,415.27,1290,1215
0.225,415.27,1290,1215
0.235,385.7,1305,1215
0.245,385.7,1305,1215
0.255,385.7,1305,1215
0.265,385.7,1305,1215
0.276,385.7,1305,1215
0.286,385.7,1305,1215
0.296,385.7,1305,1215
0.306,385.7,1305,1215
0.316,385.7,1305,1215
0.327,385.7,1305,1215
0.341,390.72,1290,1215
0.351,390.72,1290,1215
0.362,390.72,1290,1215
0.372,390.72,1290,1215
0.382,390.72,1290,1215
0.392,390.72,1290,1215
0.403,390.72,1290,1215
0.413,390.72,1290,1215
0.423,390.72,1290,1215
0.433,391.17,1290,1215
0.443,391.17,1290,1215
0.454,391.17,1290,1215
0.464,391.17,1290,1215
0.474,391.17,1290,1215
0.484,391.17,1290,1215
0.494,391.17,1290,1215
0.505,391.17,1290,1215
0.515,391.17,1290,1215
0.525,391.17,1290,1215
0.535,397.98,1290,1215
0.545,397.98,1290,1215
0.555,397.98,1290,1215
0.566,397.98,1290,1215
0.576,397.98,1290,1215
0.586,397.98,1290,1215
0.596,397.98,1290,1215
0.606,397.98,1290,1215
0.617,397.98,1290,1215
0.627,397.98,1290,1215
0.637,396.38,1290,1215
0.647,396.38,1290,1215
0.657,396.38,1290,1215
0.668,396.38,1290,1215
0.678,396.38,1290,1215
0.688,396.38,1290,1215
0.698,396.38,1290,1215
0.708,396.38,1290,1215
0.719,396.38,1290,1215
0.729,396.38,1305,1215
0.739,395.67,1305,1215
0.749,395.67,1305,1215
0.759,395.67,1305,1215
0.769,395.67,1305,1215
0.78,395.67,1305,1215
0.79,395.67,1305,1215
0.8,395.67,1305,1215
0.81,395.67,1305,1215
0.82,395.67,1305,1215
0.83,397.68,1305,1215
0.841,397.68,1305,1215
0.851,397.68,1305,1215
0.861,397.68,1305,1215
0.871,397.68,1305,1215
0.881,397.68,1305,1215
0.892,397.68,1305,1215
0.902,397.68,1305,1215
0.912,397.68,1305,1215
0.922,397.68,1305,1215
0.932,410.23,1290,1215
0.942,410.23,1290,1215
0.953,410.23,1290,1215
0.963,410.23,1290,1215
0.973,410.23,1290,1215
0.983,410.23,1290,1215
0.993,410.23,1290,1215
1.003,410.23,1290,1215
1.013,410.23,1290,1215
1.024,410.23,1290,1215
1.034,395.07,1305,1215
1.044,395.07,1305,1215
1.054,395.07,1305,1215
1.064,395.07,1305,1215
1.074,395.07,1305,1215
1.084,395.07,1305,1215
1.095,395.07,1305,1215
1.105,395.07,1305,1215
1.115,395.07,1305,1215
1.125,395.07,1305,1215
1.135,408.51,1290,1215
1.146,408.51,1290,1215
1.156,408.51,1290,1215
1.166,408.51,1290,1215
1.176,408.51,1290,1215
1.186,408.51,1290,1215
1.196,408.51,1290,1215
1.206,408.51,1290,1215
1.216,408.51,1290,1215
1.227,408.51,1290,1215
1.237,389.87,1305,1215
1.247,389.87,1305,1215
1.257,389.87,1305,1215
1.267,389.87,1305,1215
1.277,389.87,1305,1215
1.288,389.87,1305,1215
1.298,389.87,1305,1215
1.308,389.87,1305,1215
1.318,389.87,1305,1215
1.328,389.87,1305,1215
1.338,412.27,1290,1215
1.348,412.27,1290,1215
1.359,412.27,1290,1215
1.369,412.27,1290,1215
1.379,412.27,1290,1215
1.389,412.27,1290,1215
1.399,412.27,1290,1215
1.409,412.27,1290,1215
1.42,412.27,1290,1215
1.43,412.27,1290,1215
1.44,397.56,1290,1215
1.45,397.56,1290,1215
1.46,397.56,1290,1215
1.471,397.56,1290,1215
1.481,397.56,1290,1215
1.491,397.56,1290,1215
1.501,397.56,1290,1215
1.511,397.56,1290,1215
1.521,397.56,1290,1215
1.532,396.2,1290,1215
1.542,396.2,1290,1215
1.552,396.2,1290,1215
1.562,396.2,1290,1215
1.573,396.2,1290,1215
1.583,396.2,1290,1215
1.594,396.2,1290,1215
1.604,396.2,1290,1215
1.614,396.2,1290,1215
1.624,396.2,1290,1215
1.634,395.35,1290,1215
1.644,395.35,1290,1215
1.654,395.35,1290,1215
1.664,395.35,1290,1215
1.674,395.35,1290,1215
1.684,395.35,1290,1215
1.694,395.35,1290,1215
1.704,395.35,1290,1215
1.715,395.35,1290,1215
1.725,395.35,1290,1215
1.735,392.35,1305,1215
1.745,392.35,1305,1215
1.755,392.35,1305,1215
