elapsed_seconds,power_watts,gpu_clock_mhz,mem_clock_mhz
0.0,236.99,1290,1215
0.01,236.99,1290,1215
0.02,236.99,1290,1215
0.031,236.99,1290,1215
0.041,236.99,1290,1215
0.051,236.99,1290,1215
0.061,236.99,1290,1215
0.071,236.99,1290,1215
0.082,236.99,1290,1215
0.092,236.99,1290,1215
0.102,252.25,1305,1215
0.112,252.25,1305,1215
0.122,252.25,1305,1215
0.133,252.25,1305,1215
0.143,252.25,1305,1215
0.153,252.25,1305,1215
0.163,252.25,1305,1215
0.173,252.25,1305,1215
0.184,252.25,1305,1215
0.194,252.25,1305,1215
0.204,253.83,1305,1215
0.214,253.83,1305,1215
0.224,253.83,1305,1215
0.235,253.83,1305,1215
0.245,253.83,1305,1215
