elapsed_seconds,power_watts,gpu_clock_mhz,mem_clock_mhz
0.0,254.78,1050,1215
0.01,254.78,1050,1215
0.021,254.78,1050,1215
0.031,254.78,1050,1215
0.041,254.78,1050,1215
0.051,252.03,1035,1215
0.061,252.03,1035,1215
0.072,252.03,1035,1215
0.082,252.03,1035,1215
0.092,252.03,1035,1215
0.102,252.03,1035,1215
0.112,252.03,1035,1215
0.123,252.03,1035,1215
0.133,252.03,1035,1215
0.143,252.03,1035,1215
0.153,249.2,1035,1215
0.163,249.2,1035,1215
0.174,249.2,1035,1215
0.184,249.2,1035,1215
0.194,249.2,1035,1215
0.204,249.2,1035,1215
0.214,249.2,1035,1215
0.225,249.2,1035,1215
0.235,249.2,1035,1215
0.245,249.2,1035,1215
0.255,249.59,1020,1215
0.265,249.59,1020,1215
0.276,249.59,1020,1215
0.286,249.59,1020,1215
0.296,249.59,1020,1215
0.306,249.59,1020,1215
0.316,249.59,1020,1215
0.327,249.59,1020,1215
0.337,249.59,1020,1215
0.347,249.59,1020,1215
0.357,242.8,1020,1215
0.367,242.8,1020,1215
0.378,242.8,1020,1215
0.388,242.8,1020,1215
0.398,242.8,1020,1215
0.408,242.8,1020,1215
0.418,242.8,1020,1215
0.429,242.8,1020,1215
0.439,242.8,1020,1215
0.449,242.8,945,1215
0.459,249.12,945,1215
0.469,249.12,945,1215
0.48,249.12,945,1215
0.49,249.12,945,1215
0.5,249.12,945,1215
0.51,249.12,945,1215
0.521,249.12,945,1215
0.531,249.12,945,1215
0.541,249.12,945,1215
0.551,225.68,1035,1215
0.561,225.68,1035,1215
0.572,225.68,1035,1215
0.582,225.68,1035,1215
0.592,225.68,1035,1215
0.602,225.68,1035,1215
0.612,225.68,1035,1215
0.623,225.68,1035,1215
0.633,225.68,1035,1215
0.643,225.68,1035,1215
0.653,250.06,1050,1215
0.663,250.06,1050,1215
0.674,250.06,1050,1215
0.684,250.06,1050,1215
0.694,250.06,1050,1215
0.704,250.06,1050,1215
0.714,250.06,1050,1215
0.724,250.06,1050,1215
0.735,250.06,1050,1215
0.745,250.06,1050,1215
0.755,256.35,1035,1215
0.765,256.35,1035,1215
0.775,256.35,1035,1215
0.786,256.35,1035,1215
