elapsed_seconds,power_watts,gpu_clock_mhz,mem_clock_mhz
0.0,252.35,1020,1215
0.01,252.35,1020,1215
0.021,257.89,1020,1215
0.031,257.89,1020,1215
0.041,257.89,1020,1215
0.051,257.89,1020,1215
0.061,257.89,1020,1215
0.071,257.89,1020,1215
0.082,257.89,1020,1215
0.092,257.89,1020,1215
0.102,257.89,1020,1215
0.112,257.89,1020,1215
0.122,245.1,1020,1215
0.133,245.1,1020,1215
0.143,245.1,1020,1215
0.153,245.1,1020,1215
0.163,245.1,1020,1215
0.173,245.1,1020,1215
0.183,245.1,1020,1215
0.194,245.1,1020,1215
0.204,245.1,1020,1215
0.214,245.1,1020,1215
0.224,240.35,1005,1215
0.234,240.35,1005,1215
0.245,240.35,1005,1215
0.255,240.35,1005,1215
0.265,240.35,1005,1215
0.275,240.35,1005,1215
0.285,240.35,1005,1215
0.295,240.35,1005,1215
0.306,240.35,1005,1215
0.316,240.35,1020,1215
0.326,245.3,1020,1215
0.336,245.3,1020,1215
0.346,245.3,1020,1215
0.357,245.3,1020,1215
0.367,245.3,1020,1215
0.377,245.3,1020,1215
0.387,245.3,1020,1215
0.397,245.3,1020,1215
0.408,245.3,1020,1215
0.418,245.3,1020,1215
0.428,251.37,1020,1215
0.438,251.37,1020,1215
0.448,251.37,1020,1215
0.458,251.37,1020,1215
0.469,251.37,1020,1215
0.479,251.37,1020,1215
0.489,251.37,1020,1215
0.499,251.37,1020,1215
0.509,251.37,1020,1215
0.52,251.37,1020,1215
0.53,253.01,1020,1215
0.54,253.01,1020,1215
0.55,253.01,1020,1215
0.56,253.01,1020,1215
0.57,253.01,1020,1215
0.581,253.01,1020,1215
0.591,253.01,1020,1215
0.601,253.01,1020,1215
0.611,253.01,1020,1215
0.621,242.73,1020,1215
0.632,242.73,1020,1215
0.642,242.73,1020,1215
0.652,242.73,1020,1215
0.662,242.73,1020,1215
0.672,242.73,1020,1215
0.683,242.73,1020,1215
0.693,242.73,1020,1215
0.703,242.73,1020,1215
0.713,242.73,1020,1215
0.723,242.73,1035,1215
0.733,251.3,1035,1215
0.744,251.3,1035,1215
0.754,251.3,1035,1215
0.764,251.3,1035,1215
0.774,251.3,1035,1215
0.784,251.3,1035,1215
0.795,251.3,1035,1215
0.805,251.3,1035,1215
0.815,251.3,1035,1215
0.825,250.98,1020,1215
0.835,250.98,1020,1215
0.845,250.98,1020,1215
0.856,250.98,1020,1215
0.866,250.98,1020,1215
0.876,250.98,1020,1215
0.886,250.98,1020,1215
0.897,250.98,1020,1215
0.907,250.98,1020,1215
0.917,250.98,1020,1215
0.927,255.68,1020,1215
0.937,255.68,1020,1215
0.947,255.68,1020,1215
0.958,255.68,1020,1215
0.968,255.68,1020,1215
0.978,255.68,1020,1215
0.988,255.68,1020,1215
0.998,255.68,1020,1215
1.009,255.68,1020,1215
1.019,247.25,1005,1215
1.029,247.25,1005,1215
1.039,247.25,1005,1215
1.049,247.25,1005,1215
1.059,247.25,1005,1215
1.07,247.25,1005,1215
1.08,247.25,1005,1215
1.09,247.25,1005,1215
1.1,247.25,1005,1215
1.11,247.25,1005,1215
1.121,247.63,1005,1215
1.131,247.63,1005,1215
1.141,247.63,1005,1215
1.151,247.63,1005,1215
1.161,247.63,1005,1215
1.172,247.63,1005,1215
1.182,247.63,1005,1215
1.192,247.63,1005,1215
1.202,247.63,1005,1215
1.212,247.63,1005,1215
1.222,235.65,1020,1215
1.233,235.65,1020,1215
1.243,235.65,1020,1215
1.253,235.65,1020,1215
1.263,235.65,1020,1215
1.273,235.65,1020,1215
1.284,235.65,1020,1215
1.294,235.65,1020,1215
1.304,235.65,1020,1215
1.314,235.65,1020,1215
1.324,250.1,1020,1215
1.334,250.1,1020,1215
1.345,250.1,1020,1215
1.355,250.1,1020,1215
1.365,250.1,1020,1215
1.375,250.1,1020,1215
