elapsed_seconds,power_watts,gpu_clock_mhz,mem_clock_mhz
0.0,155.83,1005,1215
0.01,185.52,1065,1215
0.02,185.52,1065,1215
0.031,185.52,1065,1215
0.041,185.52,1065,1215
0.051,185.52,1065,1215
0.061,185.52,1065,1215
0.071,185.52,1065,1215
0.081,185.52,1065,1215
0.092,185.52,1065,1215
0.102,185.52,945,1215
0.112,154.0,945,1215
0.122,154.0,945,1215
0.132,154.0,945,1215
0.142,154.0,945,1215
0.153,154.0,945,1215
0.163,154.0,945,1215
0.173,154.0,945,1215
0.183,154.0,945,1215
0.193,154.0,945,1215
0.204,154.0,1065,1215
0.214,185.81,1065,1215
0.224,185.81,1065,1215
0.234,185.81,1065,1215
0.244,185.81,1065,1215
0.254,185.81,1065,1215
0.265,185.81,1065,1215
0.275,185.81,1065,1215
0.285,185.81,1065,1215
0.295,185.81,1065,1215
0.305,185.81,930,1215
0.316,150.66,930,1215
0.326,150.66,930,1215
0.336,150.66,930,1215
0.346,150.66,930,1215
0.356,150.66,930,1215
0.367,150.66,930,1215
0.377,150.66,930,1215
0.387,150.66,930,1215
0.397,150.66,930,1215
0.407,184.53,1065,1215
0.417,184.53,1065,1215
0.428,184.53,1065,1215
0.438,184.53,1065,1215
0.448,184.53,1065,1215
0.458,184.53,1065,1215
0.468,184.53,1065,1215
0.479,184.53,1065,1215
0.489,184.53,1065,1215
0.499,184.53,1065,1215
0.509,154.74,930,1215
0.519,154.74,930,1215
0.53,154.74,930,1215
0.54,154.74,930,1215
0.55,154.74,930,1215
0.56,154.74,930,1215
0.57,154.74,930,1215
0.581,154.74,930,1215
0.591,154.74,930,1215
0.601,154.74,1065,1215
0.611,180.23,1065,1215
0.621,180.23,1065,1215
0.631,180.23,1065,1215
0.642,180.23,1065,1215
0.652,180.23,1065,1215
0.662,180.23,1065,1215
0.672,180.23,1065,1215
0.683,180.23,1065,1215
0.693,180.23,1065,1215
0.703,153.68,930,1215
0.713,153.68,930,1215
0.723,153.68,930,1215
0.733,153.68,930,1215
0.744,153.68,930,1215
0.754,153.68,930,1215
0.764,153.68,930,1215
0.774,153.68,930,1215
0.784,153.68,930,1215
0.795,153.68,930,1215
0.805,185.21,1065,1215
0.815,185.21,1065,1215
0.825,185.21,1065,1215
0.835,185.21,1065,1215
0.846,185.21,1065,1215
0.856,185.21,1065,1215
0.866,185.21,1065,1215
0.876,185.21,1065,1215
0.886,185.21,1065,1215
0.896,185.21,1065,1215
0.907,151.68,900,1215
0.917,151.68,900,1215
0.927,151.68,900,1215
0.937,151.68,900,1215
0.947,151.68,900,1215
0.958,151.68,900,1215
0.968,151.68,900,1215
0.978,151.68,900,1215
0.988,151.68,900,1215
0.998,151.68,900,1215
1.008,181.25,1065,1215
1.019,181.25,1065,1215
1.029,181.25,1065,1215
1.039,181.25,1065,1215
1.049,181.25,1065,1215
1.059,181.25,1065,1215
1.07,181.25,1065,1215
1.08,181.25,1065,1215
1.09,181.25,1065,1215
1.1,181.25,1065,1215
1.11,155.29,915,1215
1.121,155.29,915,1215
1.131,155.29,915,1215
1.141,155.29,915,1215
1.151,155.29,915,1215
1.161,155.29,915,1215
1.171,155.29,915,1215
1.182,155.29,915,1215
1.192,155.29,915,1215
1.202,155.29,1080,1215
1.212,190.44,1080,1215
1.223,190.44,1080,1215
1.233,190.44,1080,1215
1.243,190.44,1080,1215
1.253,190.44,1080,1215
1.263,190.44,1080,1215
1.273,190.44,1080,1215
1.284,190.44,1080,1215
1.294,190.44,1080,1215
1.304,190.44,930,1215
1.314,154.85,930,1215
1.324,154.85,930,1215
1.335,154.85,930,1215
1.345,154.85,930,1215
1.355,154.85,930,1215
1.365,154.85,930,1215
1.375,154.85,930,1215
1.386,154.85,930,1215
1.396,154.85,930,1215
1.406,154.85,1080,1215
1.416,154.85,1080,1215
1.426,154.85,1080,1215
1.436,154.85,1080,1215
1.447,154.85,1080,1215
1.457,154.85,1080,1215
1.467,154.85,1080,1215
1.477,154.85,1080,1215
1.487,154.85,1080,1215
1.498,154.85,1080,1215
1.508,154.85,945,1215
1.518,157.94,945,1215
1.528,157.94,945,1215
1.538,157.94,945,1215
1.548,157.94,945,1215
1.559,157.94,945,1215
1.569,157.94,945,1215
1.579,157.94,945,1215
1.589,157.94,945,1215
1.599,157.94,945,1215
1.61,157.94,1080,1215
1.62,157.94,1080,1215
1.63,157.94,1080,1215
1.64,157.94,1080,1215
1.65,157.94,1080,1215
1.661,157.94,1080,1215
1.671,157.94,1080,1215
1.681,157.94,1080,1215
1.691,157.94,1080,1215
1.701,157.94,855,1215
1.711,189.21,855,1215
1.722,189.21,855,1215
1.732,189.21,855,1215
1.742,189.21,855,1215
1.752,189.21,855,1215
1.762,189.21,855,1215
1.773,189.21,855,1215
1.783,189.21,855,1215
1.793,189.21,855,1215
1.803,189.21,1080,1215
1.813,154.3,1080,1215
1.823,154.3,1080,1215
1.834,154.3,1080,1215
1.844,154.3,1080,1215
1.854,154.3,1080,1215
1.864,154.3,1080,1215
1.874,154.3,1080,1215
1.885,154.3,1080,1215
1.895,154.3,1080,1215
1.905,154.3,885,1215
1.915,190.66,885,1215
1.925,190.66,885,1215
1.935,190.66,885,1215
1.946,190.66,885,1215
1.956,190.66,885,1215
1.966,190.66,885,1215
1.976,190.66,885,1215
1.986,190.66,885,1215
1.997,190.66,885,1215
2.007,160.08,1080,1215
2.017,160.08,1080,1215
