elapsed_seconds,power_watts,gpu_clock_mhz,mem_clock_mhz
0.0,243.51,930,1215
0.01,243.51,915,1215
0.02,232.24,915,1215
0.031,232.24,915,1215
0.041,232.24,915,1215
0.051,232.24,915,1215
0.061,232.24,915,1215
0.071,232.24,915,1215
0.081,232.24,915,1215
0.092,232.24,915,1215
0.102,232.24,915,1215
0.112,232.24,945,1215
0.122,237.88,945,1215
0.132,237.88,945,1215
0.143,237.88,945,1215
0.153,237.88,945,1215
0.163,237.88,945,1215
0.173,237.88,945,1215
0.183,237.88,945,1215
0.193,237.88,945,1215
0.204,237.88,945,1215
0.214,245.27,915,1215
0.224,245.27,915,1215
0.234,245.27,915,1215
0.244,245.27,915,1215
0.255,245.27,915,1215
0.265,245.27,915,1215
0.275,245.27,915,1215
0.285,245.27,915,1215
0.295,245.27,915,1215
0.306,245.27,945,1215
0.316,238.8,945,1215
0.326,238.8,945,1215
0.336,238.8,945,1215
0.346,238.8,945,1215
0.356,238.8,945,1215
0.367,238.8,945,1215
0.377,238.8,945,1215
0.387,238.8,945,1215
0.397,238.8,945,1215
0.407,238.8,915,1215
0.418,243.29,915,1215
0.428,243.29,915,1215
0.438,243.29,915,1215
0.448,243.29,915,1215
0.458,243.29,915,1215
0.468,243.29,915,1215
0.479,243.29,915,1215
0.489,243.29,915,1215
0.499,243.29,915,1215
0.509,241.63,960,1215
0.519,241.63,960,1215
0.53,241.63,960,1215
0.54,241.63,960,1215
0.55,241.63,960,1215
0.56,241.63,960,1215
0.57,241.63,960,1215
0.581,241.63,960,1215
0.591,241.63,960,1215
0.601,241.63,960,1215
0.611,238.07,945,1215
0.621,238.07,945,1215
0.631,238.07,945,1215
0.642,238.07,945,1215
0.652,238.07,945,1215
0.662,238.07,945,1215
0.672,238.07,945,1215
0.682,238.07,945,1215
0.693,238.07,945,1215
0.703,238.07,945,1215
0.713,244.66,945,1215
0.723,244.66,945,1215
0.733,244.66,945,1215
0.743,244.66,945,1215
0.754,244.66,945,1215
0.764,244.66,945,1215
0.774,244.66,945,1215
0.784,244.66,945,1215
0.794,244.66,945,1215
0.805,244.66,945,1215
0.815,238.94,945,1215
0.825,238.94,945,1215
0.835,238.94,945,1215
0.845,238.94,945,1215
0.856,238.94,945,1215
0.866,238.94,945,1215
0.876,238.94,945,1215
0.886,238.94,945,1215
0.896,238.94,945,1215
0.906,238.94,960,1215
0.917,245.76,960,1215
0.927,245.76,960,1215
0.937,245.76,960,1215
0.947,245.76,960,1215
0.957,245.76,960,1215
0.968,245.76,960,1215
0.978,245.76,960,1215
0.988,245.76,960,1215
0.998,245.76,960,1215
1.008,238.18,945,1215
1.018,238.18,945,1215
1.029,238.18,945,1215
1.039,238.18,945,1215
1.049,238.18,945,1215
1.059,238.18,945,1215
1.069,238.18,945,1215
1.08,238.18,945,1215
1.09,238.18,945,1215
1.1,238.18,945,1215
1.11,244.66,945,1215
1.12,244.66,945,1215
1.131,244.66,945,1215
