elapsed_seconds,power_watts,gpu_clock_mhz,mem_clock_mhz
0.0,247.22,990,1215
0.01,247.22,990,1215
0.021,247.22,990,1215
0.031,247.22,990,1215
0.041,247.22,990,1215
0.051,247.22,990,1215
0.061,247.22,990,1215
0.071,247.22,990,1215
0.082,247.22,990,1215
0.092,240.36,1005,1215
0.102,240.36,1005,1215
0.112,240.36,1005,1215
0.122,240.36,1005,1215
0.133,240.36,1005,1215
0.143,240.36,1005,1215
0.153,240.36,1005,1215
0.163,240.36,1005,1215
0.173,240.36,1005,1215
0.183,240.36,1005,1215
0.194,248.59,1005,1215
0.204,248.59,1005,1215
0.214,248.59,1005,1215
0.224,248.59,1005,1215
0.234,248.59,1005,1215
0.245,248.59,1005,1215
0.255,248.59,1005,1215
0.265,248.59,1005,1215
0.275,248.59,1005,1215
0.285,248.59,1005,1215
0.296,248.12,1005,1215
0.306,248.12,1005,1215
0.316,248.12,1005,1215
0.326,248.12,1005,1215
0.336,248.12,1005,1215
0.346,248.12,1005,1215
0.357,248.12,1005,1215
0.367,248.12,1005,1215
0.377,248.12,1005,1215
0.387,253.31,1020,1215
0.397,253.31,1020,1215
0.408,253.31,1020,1215
0.418,253.31,1020,1215
0.428,253.31,1020,1215
0.438,253.31,1020,1215
0.448,253.31,1020,1215
0.458,253.31,1020,1215
0.469,253.31,1020,1215
0.479,253.31,1020,1215
0.489,255.97,1020,1215
0.499,255.97,1020,1215
0.509,255.97,1020,1215
0.52,255.97,1020,1215
0.53,255.97,1020,1215
0.54,255.97,1020,1215
0.55,255.97,1020,1215
0.56,255.97,1020,1215
0.571,255.97,1020,1215
0.581,255.97,1020,1215
0.591,256.14,1020,1215
0.601,256.14,1020,1215
0.611,256.14,1020,1215
0.622,256.14,1020,1215
0.632,256.14,1020,1215
0.642,256.14,1020,1215
0.652,256.14,1020,1215
0.662,256.14,1020,1215
0.672,256.14,1020,1215
0.683,256.14,1020,1215
0.693,253.82,1020,1215
0.703,253.82,1020,1215
0.713,253.82,1020,1215
0.723,253.82,1020,1215
0.734,253.82,1020,1215
0.744,253.82,1020,1215
0.754,253.82,1020,1215
0.764,253.82,1020,1215
