elapsed_seconds,power_watts,gpu_clock_mhz,mem_clock_mhz
0.0,249.99,1005,1215
0.01,249.99,960,1215
0.02,250.77,960,1215
0.031,250.77,960,1215
0.041,250.77,960,1215
0.051,250.77,960,1215
0.061,250.77,960,1215
0.071,250.77,960,1215
0.081,250.77,960,1215
0.092,250.77,960,1215
0.102,250.77,960,1215
0.112,250.77,975,1215
0.122,245.76,975,1215
0.132,245.76,975,1215
0.142,245.76,975,1215
0.153,245.76,975,1215
0.163,245.76,975,1215
0.173,245.76,975,1215
0.183,245.76,975,1215
0.193,245.76,975,1215
0.204,245.76,975,1215
0.214,247.82,975,1215
0.224,247.82,975,1215
0.234,247.82,975,1215
0.244,247.82,975,1215
0.254,247.82,975,1215
0.265,247.82,975,1215
0.275,247.82,975,1215
0.285,247.82,975,1215
0.295,247.82,975,1215
0.305,247.82,975,1215
0.316,251.35,975,1215
0.326,251.35,975,1215
0.336,251.35,975,1215
0.346,251.35,975,1215
0.356,251.35,975,1215
0.367,251.35,975,1215
0.377,251.35,975,1215
0.387,251.35,975,1215
0.397,251.35,975,1215
0.407,251.35,975,1215
0.417,246.17,990,1215
0.428,246.17,990,1215
0.438,246.17,990,1215
0.448,246.17,990,1215
0.458,246.17,990,1215
0.468,246.17,990,1215
0.479,246.17,990,1215
0.489,246.17,990,1215
0.499,246.17,990,1215
0.509,246.17,990,1215
0.519,250.58,990,1215
0.529,250.58,990,1215
0.54,250.58,990,1215
0.55,250.58,990,1215
0.56,250.58,990,1215
0.57,250.58,990,1215
0.58,250.58,990,1215
0.591,250.58,990,1215
0.601,250.58,990,1215
0.611,250.58,990,1215
0.621,250.87,990,1215
0.631,250.87,990,1215
0.642,250.87,990,1215
0.652,250.87,990,1215
0.662,250.87,990,1215
0.672,250.87,990,1215
0.682,250.87,990,1215
0.692,250.87,990,1215
0.703,250.87,990,1215
0.713,249.9,1005,1215
0.723,249.9,1005,1215
0.733,249.9,1005,1215
0.743,249.9,1005,1215
0.754,249.9,1005,1215
0.764,249.9,1005,1215
0.774,249.9,1005,1215
0.784,249.9,1005,1215
0.794,249.9,1005,1215
0.804,249.9,1005,1215
0.815,252.06,990,1215
0.825,252.06,990,1215
0.835,252.06,990,1215
0.845,252.06,990,1215
0.855,252.06,990,1215
0.866,252.06,990,1215
0.876,252.06,990,1215
0.886,252.06,990,1215
0.896,252.06,990,1215
0.906,252.06,990,1215
0.917,250.31,990,1215
0.927,250.31,990,1215
0.937,250.31,990,1215
0.947,250.31,990,1215
0.957,250.31,990,1215
0.967,250.31,990,1215
0.978,250.31,990,1215
0.988,250.31,990,1215
0.998,250.31,990,1215
1.008,250.31,990,1215
1.018,250.2,990,1215
1.028,250.2,990,1215
1.039,250.2,990,1215
1.049,250.2,990,1215
1.059,250.2,990,1215
1.069,250.2,990,1215
1.079,250.2,990,1215
1.09,250.2,990,1215
1.1,250.2,990,1215
1.11,250.2,990,1215
1.12,248.04,975,1215
1.13,248.04,975,1215
1.141,248.04,975,1215
1.151,248.04,975,1215
1.161,248.04,975,1215
1.171,248.04,975,1215
1.181,248.04,975,1215
1.192,248.04,975,1215
1.202,248.04,975,1215
1.212,248.04,975,1215
1.222,243.72,975,1215
1.232,243.72,975,1215
1.242,243.72,975,1215
1.252,243.72,975,1215
1.263,243.72,975,1215
1.273,243.72,975,1215
1.283,243.72,975,1215
1.293,243.72,975,1215
1.303,243.72,975,1215
1.314,243.72,975,1215
1.324,249.98,975,1215
1.334,249.98,975,1215
1.344,249.98,975,1215
1.354,249.98,975,1215
1.364,249.98,975,1215
1.375,249.98,975,1215
1.385,249.98,975,1215
1.395,249.98,975,1215
1.405,249.98,975,1215
1.415,249.98,990,1215
1.426,247.84,990,1215
1.436,247.84,990,1215
1.446,247.84,990,1215
1.456,247.84,990,1215
1.466,247.84,990,1215
1.476,247.84,990,1215
1.487,247.84,990,1215
1.497,247.84,990,1215
1.507,247.84,990,1215
1.517,251.76,990,1215
1.527,251.76,990,1215
1.538,251.76,990,1215
1.548,251.76,990,1215
1.558,251.76,990,1215
1.568,251.76,990,1215
1.578,251.76,990,1215
1.589,251.76,990,1215
1.599,251.76,990,1215
1.609,251.76,990,1215
1.619,247.04,990,1215
1.629,247.04,990,1215
1.639,247.04,990,1215
1.65,247.04,990,1215
1.66,247.04,990,1215
1.67,247.04,990,1215
1.68,247.04,990,1215
1.69,247.04,990,1215
1.701,247.04,990,1215
1.711,247.04,1005,1215
1.721,250.87,1005,1215
1.731,250.87,1005,1215
1.741,250.87,1005,1215
1.751,250.87,1005,1215
1.762,250.87,1005,1215
1.772,250.87,1005,1215
1.782,250.87,1005,1215
1.792,250.87,1005,1215
1.802,250.87,1005,1215
1.813,251.25,990,1215
1.823,251.25,990,1215
1.833,251.25,990,1215
1.843,251.25,990,1215
1.853,251.25,990,1215
1.864,251.25,990,1215
1.874,251.25,990,1215
1.884,251.25,990,1215
1.894,251.25,990,1215
1.904,251.25,990,1215
1.914,251.06,990,1215
1.925,251.06,990,1215
1.935,251.06,990,1215
1.945,251.06,990,1215
1.955,251.06,990,1215
1.965,251.06,990,1215
1.976,251.06,990,1215
1.986,251.06,990,1215
1.996,251.06,990,1215
2.006,251.06,990,1215
2.016,249.07,990,1215
2.026,249.07,990,1215
2.036,249.07,990,1215
2.047,249.07,990,1215
2.057,249.07,990,1215
