elapsed_seconds,power_watts,gpu_clock_mhz,mem_clock_mhz
0.0,254.77,1095,1215
0.01,254.77,1095,1215
0.021,254.77,1095,1215
0.031,254.77,1095,1215
0.041,254.77,1095,1215
0.051,254.77,1095,1215
0.061,254.77,1095,1215
0.071,254.77,1095,1215
0.082,254.77,1095,1215
0.092,254.77,1020,1215
0.102,242.09,1020,1215
0.112,242.09,1020,1215
0.122,242.09,1020,1215
0.133,242.09,1020,1215
0.143,242.09,1020,1215
0.153,242.09,1020,1215
0.163,242.09,1020,1215
0.173,242.09,1020,1215
0.184,242.09,1020,1215
0.194,242.09,1095,1215
0.204,227.13,1095,1215
0.214,227.13,1095,1215
0.224,227.13,1095,1215
0.235,227.13,1095,1215
0.245,227.13,1095,1215
0.255,227.13,1095,1215
0.265,227.13,1095,1215
0.275,227.13,1095,1215
0.285,227.13,1095,1215
0.296,251.54,1110,1215
0.306,251.54,1110,1215
0.316,251.54,1110,1215
0.326,251.54,1110,1215
0.336,251.54,1110,1215
0.347,251.54,1110,1215
0.357,251.54,1110,1215
0.367,251.54,1110,1215
0.377,251.54,1110,1215
0.387,251.54,1110,1215
0.398,257.29,1110,1215
0.408,257.29,1110,1215
0.418,257.29,1110,1215
0.428,257.29,1110,1215
0.438,257.29,1110,1215
0.449,257.29,1110,1215
0.459,257.29,1110,1215
0.469,257.29,1110,1215
0.479,257.29,1110,1215
0.489,257.29,1110,1215
0.499,250.22,1110,1215
0.51,250.22,1110,1215
0.52,250.22,1110,1215
0.53,250.22,1110,1215
0.54,250.22,1110,1215
0.55,250.22,1110,1215
0.561,250.22,1110,1215
0.571,250.22,1110,1215
0.581,250.22,1110,1215
0.591,250.22,1110,1215
0.601,252.04,1110,1215
0.612,252.04,1110,1215
0.622,252.04,1110,1215
0.632,252.04,1110,1215
0.642,252.04,1110,1215
0.652,252.04,1110,1215
0.663,252.04,1110,1215
0.673,252.04,1110,1215
0.683,252.04,1110,1215
0.693,252.04,1110,1215
0.703,258.6,1110,1215
0.714,258.6,1110,1215
0.724,258.6,1110,1215
0.734,258.6,1110,1215
0.744,258.6,1110,1215
0.754,258.6,1110,1215
0.765,258.6,1110,1215
0.775,258.6,1110,1215
0.785,258.6,1110,1215
0.795,253.7,1110,1215
0.805,253.7,1110,1215
0.816,253.7,1110,1215
0.826,253.7,1110,1215
0.836,253.7,1110,1215
0.846,253.7,1110,1215
0.856,253.7,1110,1215
0.867,253.7,1110,1215
0.877,253.7,1110,1215
0.887,253.7,1110,1215
0.897,249.63,1095,1215
0.907,249.63,1095,1215
0.917,249.63,1095,1215
0.928,249.63,1095,1215
0.938,249.63,1095,1215
0.948,249.63,1095,1215
0.958,249.63,1095,1215
0.968,249.63,1095,1215
0.979,249.63,1095,1215
0.989,249.63,1095,1215
0.999,244.49,1080,1215
1.009,244.49,1080,1215
1.019,244.49,1080,1215
1.03,244.49,1080,1215
1.04,244.49,1080,1215
1.05,244.49,1080,1215
1.06,244.49,1080,1215
1.07,244.49,1080,1215
1.081,244.49,1080,1215
1.091,244.49,1080,1215
1.101,234.33,1080,1215
1.111,234.33,1080,1215
1.121,234.33,1080,1215
1.132,234.33,1080,1215
1.142,234.33,1080,1215
1.152,234.33,1080,1215
1.162,234.33,1080,1215
1.172,234.33,1080,1215
1.182,234.33,1080,1215
1.193,234.33,1095,1215
1.203,240.02,1095,1215
1.213,240.02,1095,1215
1.223,240.02,1095,1215
1.233,240.02,1095,1215
1.244,240.02,1095,1215
1.254,240.02,1095,1215
1.264,240.02,1095,1215
1.274,240.02,1095,1215
1.284,240.02,1095,1215
1.295,240.83,1110,1215
1.305,240.83,1110,1215
1.315,240.83,1110,1215
1.325,240.83,1110,1215
1.335,240.83,1110,1215
1.345,240.83,1110,1215
1.356,240.83,1110,1215
1.366,240.83,1110,1215
1.376,240.83,1110,1215
1.386,240.83,1110,1215
1.396,255.93,1110,1215
1.407,255.93,1110,1215
1.417,255.93,1110,1215
1.427,255.93,1110,1215
1.437,255.93,1110,1215
1.447,255.93,1110,1215
1.457,255.93,1110,1215
1.468,255.93,1110,1215
1.478,255.93,1110,1215
1.488,255.93,1110,1215
1.498,250.22,1110,1215
1.508,250.22,1110,1215
1.519,250.22,1110,1215
1.529,250.22,1110,1215
1.539,250.22,1110,1215
1.549,250.22,1110,1215
1.559,250.22,1110,1215
1.57,250.22,1110,1215
1.58,250.22,1110,1215
1.59,250.22,1110,1215
1.6,252.44,1110,1215
1.61,252.44,1110,1215
1.62,252.44,1110,1215
