elapsed_seconds,power_watts,gpu_clock_mhz,mem_clock_mhz
0.0,177.91,1410,1215
0.01,177.91,1410,1215
0.02,177.91,1410,1215
0.031,177.91,1410,1215
0.041,177.91,1410,1215
0.051,177.91,1410,1215
0.061,177.91,1410,1215
0.071,177.91,1410,1215
0.082,177.91,1410,1215
0.092,188.26,1410,1215
0.102,188.26,1410,1215
0.112,188.26,1410,1215
0.123,188.26,1410,1215
0.133,188.26,1410,1215
0.143,188.26,1410,1215
0.153,188.26,1410,1215
0.164,188.26,1410,1215
0.174,188.26,1410,1215
0.184,188.26,1410,1215
0.194,186.28,1410,1215
