elapsed_seconds,power_watts,gpu_clock_mhz,mem_clock_mhz
0.0,256.65,1290,1215
0.01,256.65,1290,1215
0.02,256.65,1290,1215
0.031,256.65,1290,1215
0.041,256.65,1290,1215
0.051,256.65,1290,1215
0.061,255.58,1050,1215
0.071,255.58,1050,1215
0.081,255.58,1050,1215
0.092,255.58,1050,1215
0.102,255.58,1050,1215
0.112,255.58,1050,1215
0.122,255.58,1050,1215
0.132,255.58,1050,1215
0.143,255.58,1050,1215
0.153,255.58,1050,1215
0.163,233.63,1230,1215
0.173,233.63,1230,1215
0.183,233.63,1230,1215
0.194,233.63,1230,1215
0.204,233.63,1230,1215
0.214,233.63,1230,1215
0.224,233.63,1230,1215
0.234,233.63,1230,1215
0.244,233.63,1230,1215
0.255,233.63,1290,1215
0.265,234.61,1290,1215
0.275,234.61,1290,1215
0.285,234.61,1290,1215
0.295,234.61,1290,1215
0.306,234.61,1290,1215
0.316,234.61,1290,1215
0.326,234.61,1290,1215
0.336,234.61,1290,1215
0.346,234.61,1290,1215
0.356,255.17,1290,1215
0.367,255.17,1290,1215
0.377,255.17,1290,1215
0.387,255.17,1290,1215
0.397,255.17,1290,1215
0.407,255.17,1290,1215
0.418,255.17,1290,1215
0.428,255.17,1290,1215
0.438,255.17,1290,1215
0.448,255.17,1290,1215
0.458,251.19,1290,1215
0.469,251.19,1290,1215
0.479,251.19,1290,1215
0.489,251.19,1290,1215
0.499,251.19,1290,1215
0.509,251.19,1290,1215
0.519,251.19,1290,1215
0.53,251.19,1290,1215
0.54,251.19,1290,1215
0.55,251.19,1290,1215
0.56,257.02,1275,1215
0.57,257.02,1275,1215
0.58,257.02,1275,1215
0.591,257.02,1275,1215
0.601,257.02,1275,1215
0.611,257.02,1275,1215
0.621,257.02,1275,1215
0.631,257.02,1275,1215
0.642,257.02,1275,1215
0.652,257.02,1275,1215
0.662,268.6,1050,1215
0.672,268.6,1050,1215
0.682,268.6,1050,1215
0.693,268.6,1050,1215
0.703,268.6,1050,1215
0.713,268.6,1050,1215
0.723,268.6,1050,1215
0.733,268.6,1050,1215
0.743,268.6,1050,1215
0.754,268.6,1275,1215
0.764,209.54,1275,1215
0.774,209.54,1275,1215
0.784,209.54,1275,1215
0.794,209.54,1275,1215
0.805,209.54,1275,1215
0.815,209.54,1275,1215
0.825,209.54,1275,1215
0.835,209.54,1275,1215
0.845,209.54,1275,1215
0.855,209.54,1290,1215
0.866,243.69,1290,1215
0.876,243.69,1290,1215
0.886,243.69,1290,1215
0.896,243.69,1290,1215
0.906,243.69,1290,1215
0.917,243.69,1290,1215
0.927,243.69,1290,1215
0.937,243.69,1290,1215
0.947,243.69,1290,1215
0.957,246.53,1290,1215
0.968,246.53,1290,1215
0.978,246.53,1290,1215
0.988,246.53,1290,1215
0.998,246.53,1290,1215
1.008,246.53,1290,1215
1.019,246.53,1290,1215
1.029,246.53,1290,1215
1.039,246.53,1290,1215
1.049,246.53,1290,1215
