elapsed_seconds,power_watts,gpu_clock_mhz,mem_clock_mhz
0.0,190.75,690,1215
0.01,190.75,690,1215
0.021,190.75,690,1215
0.031,190.75,690,1215
0.041,190.75,690,1215
0.051,190.75,690,1215
0.061,190.75,690,1215
0.072,190.75,690,1215
0.082,190.75,690,1215
0.092,190.75,705,1215
0.102,200.06,705,1215
0.112,200.06,705,1215
0.123,200.06,705,1215
0.133,200.06,705,1215
0.143,200.06,705,1215
0.153,200.06,705,1215
0.163,200.06,705,1215
0.174,200.06,705,1215
0.184,200.06,705,1215
0.194,206.51,735,1215
0.204,206.51,735,1215
0.214,206.51,735,1215
0.225,206.51,735,1215
0.235,206.51,735,1215
0.245,206.51,735,1215
0.255,206.51,735,1215
0.265,206.51,735,1215
0.276,206.51,735,1215
0.286,206.51,735,1215
0.296,202.88,765,1215
0.306,202.88,765,1215
0.316,202.88,765,1215
0.327,202.88,765,1215
0.337,202.88,765,1215
0.347,202.88,765,1215
0.357,202.88,765,1215
0.367,202.88,765,1215
0.378,202.88,765,1215
0.388,202.88,765,1215
0.398,217.56,825,1215
0.408,217.56,825,1215
0.418,217.56,825,1215
