elapsed_seconds,power_watts,gpu_clock_mhz,mem_clock_mhz
0.0,257.25,1245,1215
0.01,257.25,1245,1215
0.021,257.25,1245,1215
0.031,257.25,1245,1215
0.041,257.25,1245,1215
0.051,257.25,1245,1215
0.061,257.25,1245,1215
0.071,257.25,1245,1215
0.082,257.25,1245,1215
0.092,333.84,915,1215
0.102,333.84,915,1215
0.112,333.84,915,1215
0.122,333.84,915,1215
0.133,333.84,915,1215
0.143,333.84,915,1215
0.153,333.84,915,1215
0.163,333.84,915,1215
0.173,333.84,915,1215
0.183,333.84,915,1215
0.194,226.97,1080,1215
0.204,226.97,1080,1215
0.214,226.97,1080,1215
0.224,226.97,1080,1215
0.234,226.97,1080,1215
0.245,226.97,1080,1215
0.255,226.97,1080,1215
0.265,226.97,1080,1215
0.275,226.97,1080,1215
0.285,226.97,1095,1215
0.295,251.69,1095,1215
0.306,251.69,1095,1215
0.316,251.69,1095,1215
0.326,251.69,1095,1215
0.336,251.69,1095,1215
0.346,251.69,1095,1215
0.357,251.69,1095,1215
0.367,251.69,1095,1215
0.377,251.69,1095,1215
0.387,251.69,1260,1215
0.397,208.79,1260,1215
0.408,208.79,1260,1215
0.418,208.79,1260,1215
0.428,208.79,1260,1215
0.438,208.79,1260,1215
0.448,208.79,1260,1215
0.458,208.79,1260,1215
0.469,208.79,1260,1215
0.479,208.79,1260,1215
0.489,254.2,1260,1215
0.499,254.2,1260,1215
0.509,254.2,1260,1215
0.519,254.2,1260,1215
0.53,254.2,1260,1215
0.54,254.2,1260,1215
0.55,254.2,1260,1215
0.56,254.2,1260,1215
0.57,254.2,1260,1215
0.581,254.2,1260,1215
0.591,254.11,1245,1215
0.601,254.11,1245,1215
0.611,254.11,1245,1215
0.621,254.11,1245,1215
0.631,254.11,1245,1215
0.642,254.11,1245,1215
0.652,254.11,1245,1215
0.662,254.11,1245,1215
0.672,254.11,1245,1215
0.682,254.11,1245,1215
0.693,241.74,1245,1215
0.703,241.74,1245,1215
0.713,241.74,1245,1215
0.723,241.74,1245,1215
0.733,241.74,1245,1215
0.743,241.74,1245,1215
0.754,241.74,1245,1215
0.764,241.74,1245,1215
0.774,241.74,1245,1215
0.784,241.74,1245,1215
0.794,253.44,1245,1215
0.805,253.44,1245,1215
0.815,253.44,1245,1215
0.825,253.44,1245,1215
0.835,253.44,1245,1215
0.845,253.44,1245,1215
0.856,253.44,1245,1215
0.866,253.44,1245,1215
0.876,253.44,1245,1215
0.886,253.44,1245,1215
0.896,246.55,1245,1215
0.906,246.55,1245,1215
0.917,246.55,1245,1215
0.927,246.55,1245,1215
0.937,246.55,1245,1215
0.947,246.55,1245,1215
0.957,246.55,1245,1215
0.968,246.55,1245,1215
0.978,246.55,1245,1215
0.988,246.47,1260,1215
0.998,246.47,1260,1215
1.008,246.47,1260,1215
1.018,246.47,1260,1215
1.029,246.47,1260,1215
1.039,246.47,1260,1215
1.049,246.47,1260,1215
1.059,246.47,1260,1215
1.069,246.47,1260,1215
1.08,246.47,1260,1215
