elapsed_seconds,power_watts,gpu_clock_mhz,mem_clock_mhz
0.0,400.97,1305,1215
0.01,400.97,1305,1215
0.021,400.97,1305,1215
0.031,400.97,1305,1215
0.041,400.97,1305,1215
0.051,399.25,1305,1215
0.061,399.25,1305,1215
0.072,399.25,1305,1215
0.082,399.25,1305,1215
0.092,399.25,1305,1215
0.102,399.25,1305,1215
0.112,399.25,1305,1215
0.122,399.25,1305,1215
0.133,399.25,1305,1215
0.143,399.25,1305,1215
0.153,407.32,1305,1215
0.163,407.32,1305,1215
0.173,407.32,1305,1215
0.184,407.32,1305,1215
0.194,407.32,1305,1215
0.204,407.32,1305,1215
0.214,407.32,1305,1215
0.224,407.32,1305,1215
0.235,407.32,1305,1215
0.245,407.32,1305,1215
0.255,407.32,1305,1215
0.265,407.32,1305,1215
0.275,407.32,1305,1215
0.285,407.32,1305,1215
0.296,407.32,1305,1215
0.306,407.32,1305,1215
0.316,407.32,1305,1215
0.326,407.32,1305,1215
0.336,407.32,1305,1215
0.347,404.15,1290,1215
0.357,404.15,1290,1215
0.367,404.15,1290,1215
0.377,404.15,1290,1215
0.387,404.15,1290,1215
0.397,404.15,1290,1215
0.408,404.15,1290,1215
0.418,404.15,1290,1215
0.428,404.15,1290,1215
0.438,404.15,1290,1215
0.448,404.47,1305,1215
0.459,404.47,1305,1215
0.469,404.47,1305,1215
0.479,404.47,1305,1215
0.489,404.47,1305,1215
0.499,404.47,1305,1215
0.51,404.47,1305,1215
0.52,404.47,1305,1215
0.53,404.47,1305,1215
0.54,404.47,1305,1215
0.55,405.87,1305,1215
0.561,405.87,1305,1215
0.571,405.87,1305,1215
0.581,405.87,1305,1215
0.591,405.87,1305,1215
0.601,405.87,1305,1215
0.611,405.87,1305,1215
0.622,405.87,1305,1215
0.632,405.87,1305,1215
0.642,405.87,1305,1215
0.652,407.64,1290,1215
0.662,407.64,1290,1215
0.673,407.64,1290,1215
0.683,407.64,1290,1215
0.693,407.64,1290,1215
0.703,407.64,1290,1215
0.713,407.64,1290,1215
0.723,407.64,1290,1215
0.734,407.64,1290,1215
0.744,407.64,1290,1215
0.754,393.44,1290,1215
0.764,393.44,1290,1215
0.774,393.44,1290,1215
0.784,393.44,1290,1215
0.795,393.44,1290,1215
0.805,393.44,1290,1215
0.815,393.44,1290,1215
0.825,393.44,1290,1215
0.835,393.44,1290,1215
0.845,397.21,1305,1215
0.856,397.21,1305,1215
0.866,397.21,1305,1215
0.876,397.21,1305,1215
0.886,397.21,1305,1215
0.896,397.21,1305,1215
0.906,397.21,1305,1215
0.917,397.21,1305,1215
0.927,397.21,1305,1215
0.937,397.21,1305,1215
0.947,406.19,1305,1215
0.957,406.19,1305,1215
0.967,406.19,1305,1215
0.978,406.19,1305,1215
0.988,406.19,1305,1215
0.998,406.19,1305,1215
1.008,406.19,1305,1215
1.018,406.19,1305,1215
1.028,406.19,1305,1215
1.039,406.19,1305,1215
1.049,403.55,1305,1215
1.059,403.55,1305,1215
1.069,403.55,1305,1215
1.079,403.55,1305,1215
1.09,403.55,1305,1215
1.1,403.55,1305,1215
1.11,403.55,1305,1215
1.121,403.55,1305,1215
1.131,403.55,1305,1215
1.141,403.55,1305,1215
1.151,399.85,1305,1215
1.161,399.85,1305,1215
1.171,399.85,1305,1215
1.182,399.85,1305,1215
1.192,399.85,1305,1215
1.202,399.85,1305,1215
1.212,399.85,1305,1215
1.222,399.85,1305,1215
1.232,399.85,1305,1215
1.243,399.85,1305,1215
1.253,403.88,1290,1215
1.263,403.88,1290,1215
1.273,403.88,1290,1215
1.283,403.88,1290,1215
1.293,403.88,1290,1215
1.304,403.88,1290,1215
1.314,403.88,1290,1215
1.324,403.88,1290,1215
1.334,403.88,1290,1215
1.344,403.88,1305,1215
1.354,399.52,1305,1215
1.365,399.52,1305,1215
1.375,399.52,1305,1215
1.385,399.52,1305,1215
1.395,399.52,1305,1215
1.405,399.52,1305,1215
1.415,399.52,1305,1215
1.426,399.52,1305,1215
1.436,399.52,1305,1215
1.446,399.52,1305,1215
1.456,405.87,1305,1215
1.466,405.87,1305,1215
1.476,405.87,1305,1215
1.487,405.87,1305,1215
1.497,405.87,1305,1215
1.507,405.87,1305,1215
1.517,405.87,1305,1215
1.528,405.87,1305,1215
1.538,405.87,1305,1215
1.548,400.97,1305,1215
1.558,400.97,1305,1215
1.568,400.97,1305,1215
1.578,400.97,1305,1215
1.589,400.97,1305,1215
1.599,400.97,1305,1215
1.609,400.97,1305,1215
1.619,400.97,1305,1215
1.629,400.97,1305,1215
1.639,400.97,1305,1215
1.65,396.62,1305,1215
1.66,396.62,1305,1215
1.67,396.62,1305,1215
1.68,396.62,1305,1215
1.69,396.62,1305,1215
1.701,396.62,1305,1215
1.711,396.62,1305,1215
1.721,396.62,1305,1215
1.731,396.62,1305,1215
1.741,396.62,1305,1215
1.751,385.78,1305,1215
1.762,385.78,1305,1215
1.772,385.78,1305,1215
1.782,385.78,1305,1215
1.792,385.78,1305,1215
1.802,385.78,1305,1215
1.813,385.78,1305,1215
1.823,385.78,1305,1215
1.833,385.78,1305,1215
1.843,385.78,1290,1215
1.853,400.7,1290,1215
1.863,400.7,1290,1215
1.873,400.7,1290,1215
1.883,400.7,1290,1215
1.894,400.7,1290,1215
1.904,400.7,1290,1215
1.914,400.7,1290,1215
1.924,400.7,1290,1215
1.934,400.7,1290,1215
1.947,406.46,1305,1215
1.957,406.46,1305,1215
1.968,406.46,1305,1215
1.978,406.46,1305,1215
1.988,406.46,1305,1215
1.998,406.46,1305,1215
2.009,406.46,1305,1215
2.019,406.46,1305,1215
2.029,406.46,1305,1215
2.039,406.46,1305,1215
2.049,399.85,1305,1215
2.06,399.85,1305,1215
2.07,399.85,1305,1215
2.08,399.85,1305,1215
2.09,399.85,1305,1215
2.1,399.85,1305,1215
2.111,399.85,1305,1215
2.121,399.85,1305,1215
2.131,399.85,1305,1215
2.141,399.85,1305,1215
2.151,393.18,1305,1215
2.162,393.18,1305,1215
2.172,393.18,1305,1215
2.182,393.18,1305,1215
2.192,393.18,1305,1215
2.202,393.18,1305,1215
2.213,393.18,1305,1215
2.223,393.18,1305,1215
2.233,393.18,1305,1215
2.243,393.18,1305,1215
2.253,395.22,1305,1215
2.264,395.22,1305,1215
2.274,395.22,1305,1215
2.284,395.22,1305,1215
2.294,395.22,1305,1215
2.304,395.22,1305,1215
2.314,395.22,1305,1215
2.325,395.22,1305,1215
2.335,395.22,1305,1215
2.345,375.26,1305,1215
2.355,375.26,1305,1215
2.365,375.26,1305,1215
2.376,375.26,1305,1215
2.386,375.26,1305,1215
2.396,375.26,1305,1215
2.406,375.26,1305,1215
2.416,375.26,1305,1215
2.426,375.26,1305,1215
2.437,375.26,1305,1215
2.447,407.92,1305,1215
2.457,407.92,1305,1215
2.467,407.92,1305,1215
2.477,407.92,1305,1215
2.488,407.92,1305,1215
2.498,407.92,1305,1215
2.508,407.92,1305,1215
2.518,407.92,1305,1215
2.528,407.92,1305,1215
2.538,407.92,1305,1215
2.549,400.38,1305,1215
2.559,400.38,1305,1215
2.569,400.38,1305,1215
2.579,400.38,1305,1215
2.589,400.38,1305,1215
2.599,400.38,1305,1215
2.61,400.38,1305,1215
2.62,400.38,1305,1215
2.63,400.38,1305,1215
2.64,400.38,1305,1215
2.65,393.44,1305,1215
2.66,393.44,1305,1215
2.671,393.44,1305,1215
2.681,393.44,1305,1215
2.691,393.44,1305,1215
2.701,393.44,1305,1215
2.711,393.44,1305,1215
2.722,393.44,1305,1215
2.732,393.44,1305,1215
