elapsed_seconds,power_watts,gpu_clock_mhz,mem_clock_mhz
0.0,310.51,1410,1215
0.01,310.51,1410,1215
0.021,310.51,1410,1215
0.031,330.81,1365,1215
0.041,330.81,1365,1215
0.051,330.81,1365,1215
0.061,330.81,1365,1215
0.072,330.81,1365,1215
0.082,330.81,1365,1215
0.092,330.81,1365,1215
0.102,330.81,1365,1215
0.112,330.81,1365,1215
0.123,330.81,1365,1215
0.133,418.89,1395,1215
0.143,418.89,1395,1215
0.153,418.89,1395,1215
0.163,418.89,1395,1215
0.173,418.89,1395,1215
0.184,418.89,1395,1215
0.194,418.89,1395,1215
0.204,418.89,1395,1215
0.214,418.89,1395,1215
0.224,418.89,1395,1215
0.235,314.54,1410,1215
0.245,314.54,1410,1215
0.255,314.54,1410,1215
0.265,314.54,1410,1215
0.275,314.54,1410,1215
0.285,314.54,1410,1215
0.296,314.54,1410,1215
0.306,314.54,1410,1215
0.316,314.54,1410,1215
0.326,314.54,1410,1215
0.336,326.13,1365,1215
0.347,326.13,1365,1215
0.357,326.13,1365,1215
0.367,326.13,1365,1215
0.377,326.13,1365,1215
0.387,326.13,1365,1215
0.398,326.13,1365,1215
0.408,326.13,1365,1215
0.418,326.13,1365,1215
0.428,326.13,1395,1215
0.438,354.5,1395,1215
0.449,354.5,1395,1215
0.459,354.5,1395,1215
0.469,354.5,1395,1215
0.479,354.5,1395,1215
0.489,354.5,1395,1215
0.499,354.5,1395,1215
0.51,354.5,1395,1215
0.52,354.5,1395,1215
0.53,316.59,1410,1215
0.54,316.59,1410,1215
0.55,316.59,1410,1215
0.561,316.59,1410,1215
0.571,316.59,1410,1215
0.581,316.59,1410,1215
0.591,316.59,1410,1215
0.601,316.59,1410,1215
0.611,316.59,1410,1215
0.622,316.59,1410,1215
0.632,327.3,1350,1215
0.642,327.3,1350,1215
0.652,327.3,1350,1215
0.662,327.3,1350,1215
0.673,327.3,1350,1215
0.683,327.3,1350,1215
0.693,327.3,1350,1215
0.703,327.3,1350,1215
0.713,327.3,1350,1215
0.723,327.3,1350,1215
0.734,305.61,1395,1215
