elapsed_seconds,power_watts,gpu_clock_mhz,mem_clock_mhz
0.0,298.34,1410,1215
0.011,298.34,1410,1215
0.021,298.34,1410,1215
0.031,298.34,1410,1215
0.042,298.34,1410,1215
0.052,298.34,1410,1215
0.062,298.34,1410,1215
0.073,298.34,1410,1215
0.083,293.44,1410,1215
0.093,293.44,1410,1215
0.104,293.44,1410,1215
0.114,293.44,1410,1215
0.124,293.44,1410,1215
0.134,293.44,1410,1215
0.145,293.44,1410,1215
0.155,293.44,1410,1215
0.165,293.44,1410,1215
0.175,293.44,1410,1215
0.186,308.51,1410,1215
0.196,308.51,1410,1215
0.206,308.51,1410,1215
0.216,308.51,1410,1215
0.226,308.51,1410,1215
0.237,308.51,1410,1215
0.247,308.51,1410,1215
0.257,308.51,1410,1215
0.267,308.51,1410,1215
0.277,308.51,1410,1215
0.287,310.51,1410,1215
0.298,310.51,1410,1215
0.308,310.51,1410,1215
