elapsed_seconds,power_watts,gpu_clock_mhz,mem_clock_mhz
0.0,405.33,1350,1215
0.01,405.33,1350,1215
0.021,405.33,1350,1215
0.031,405.33,1350,1215
0.041,405.33,1350,1215
0.052,405.33,1350,1215
0.062,405.33,1350,1215
0.072,405.33,1350,1215
0.083,405.33,1350,1215
0.093,401.25,1350,1215
0.103,401.25,1350,1215
0.113,401.25,1350,1215
0.123,401.25,1350,1215
0.134,401.25,1350,1215
0.144,401.25,1350,1215
0.154,401.25,1350,1215
0.165,401.25,1350,1215
0.175,401.25,1350,1215
0.185,394.63,1335,1215
0.195,394.63,1335,1215
0.205,394.63,1335,1215
0.216,394.63,1335,1215
0.226,394.63,1335,1215
0.236,394.63,1335,1215
0.246,394.63,1335,1215
0.256,394.63,1335,1215
0.267,394.63,1335,1215
0.277,394.63,1335,1215
0.287,406.78,1350,1215
0.297,406.78,1350,1215
0.307,406.78,1350,1215
0.318,406.78,1350,1215
0.328,406.78,1350,1215
0.338,406.78,1350,1215
0.348,406.78,1350,1215
0.358,406.78,1350,1215
0.369,406.78,1350,1215
0.379,406.78,1350,1215
0.389,406.78,1350,1215
0.399,406.78,1350,1215
0.409,407.64,1350,1215
0.42,407.64,1350,1215
0.43,407.64,1350,1215
0.44,407.64,1350,1215
0.45,407.64,1350,1215
0.46,407.64,1350,1215
0.47,407.64,1350,1215
0.481,407.64,1350,1215
0.491,409.1,1305,1215
0.501,409.1,1305,1215
0.512,409.1,1305,1215
0.522,409.1,1305,1215
0.532,409.1,1305,1215
0.542,409.1,1305,1215
0.552,409.1,1305,1215
0.563,409.1,1305,1215
0.573,409.1,1305,1215
0.583,409.1,1335,1215
0.593,384.78,1335,1215
0.604,384.78,1335,1215
0.614,384.78,1335,1215
0.624,384.78,1335,1215
0.635,384.78,1335,1215
0.645,384.78,1335,1215
0.655,384.78,1335,1215
0.665,384.78,1335,1215
0.675,384.78,1335,1215
0.686,395.22,1335,1215
0.696,395.22,1335,1215
0.706,395.22,1335,1215
0.716,395.22,1335,1215
0.726,395.22,1335,1215
0.736,395.22,1335,1215
0.747,395.22,1335,1215
0.757,395.22,1335,1215
0.767,395.22,1335,1215
0.777,395.22,1335,1215
0.787,401.83,1335,1215
0.798,401.83,1335,1215
0.808,401.83,1335,1215
0.818,401.83,1335,1215
0.828,401.83,1335,1215
