elapsed_seconds,power_watts,gpu_clock_mhz,mem_clock_mhz
0.0,404.75,1290,1215
0.01,404.75,1290,1215
0.021,404.75,1290,1215
0.031,404.75,1290,1215
0.041,404.75,1290,1215
0.051,404.75,1290,1215
0.061,399.01,1290,1215
0.071,399.01,1290,1215
0.082,399.01,1290,1215
0.092,399.01,1290,1215
0.102,399.01,1290,1215
0.112,399.01,1290,1215
0.122,399.01,1290,1215
0.133,399.01,1290,1215
0.143,399.01,1290,1215
0.153,399.01,1290,1215
0.163,397.38,1290,1215
0.173,397.38,1290,1215
0.183,397.38,1290,1215
0.194,397.38,1290,1215
0.204,397.38,1290,1215
0.214,397.38,1290,1215
0.224,397.38,1290,1215
0.235,397.38,1290,1215
0.245,397.38,1290,1215
0.255,400.82,1290,1215
0.265,400.82,1290,1215
0.275,400.82,1290,1215
0.286,400.82,1290,1215
0.296,400.82,1290,1215
0.306,400.82,1290,1215
0.316,400.82,1290,1215
0.326,400.82,1290,1215
0.336,400.82,1290,1215
0.347,400.82,1290,1215
0.357,397.56,1290,1215
0.367,397.56,1290,1215
0.377,397.56,1290,1215
0.387,397.56,1290,1215
0.398,397.56,1290,1215
0.408,397.56,1290,1215
0.418,397.56,1290,1215
0.428,397.56,1290,1215
0.438,397.56,1290,1215
0.448,397.56,1290,1215
0.459,397.83,1290,1215
0.469,397.83,1290,1215
0.479,397.83,1290,1215
0.489,397.83,1290,1215
0.499,397.83,1290,1215
0.51,397.83,1290,1215
0.52,397.83,1290,1215
0.53,397.83,1290,1215
0.54,397.83,1290,1215
0.55,397.83,1290,1215
0.561,381.21,1260,1215
0.571,381.21,1260,1215
0.581,381.21,1260,1215
0.591,381.21,1260,1215
0.601,381.21,1260,1215
0.611,381.21,1260,1215
0.621,381.21,1260,1215
0.632,381.21,1260,1215
0.642,381.21,1260,1215
0.652,381.21,1290,1215
0.662,391.49,1290,1215
0.672,391.49,1290,1215
0.683,391.49,1290,1215
0.693,391.49,1290,1215
0.703,391.49,1290,1215
0.713,391.49,1290,1215
0.723,391.49,1290,1215
0.733,391.49,1290,1215
0.744,391.49,1290,1215
0.754,395.52,1290,1215
0.764,395.52,1290,1215
0.774,395.52,1290,1215
0.784,395.52,1290,1215
0.795,395.52,1290,1215
0.805,395.52,1290,1215
