elapsed_seconds,power_watts,gpu_clock_mhz,mem_clock_mhz
0.0,139.78,1410,1215
0.01,139.78,1410,1215
0.021,139.78,1410,1215
0.031,139.78,1410,1215
0.041,139.78,1410,1215
0.051,139.78,1410,1215
0.061,139.78,1410,1215
0.072,139.78,1410,1215
0.082,139.78,1410,1215
0.092,139.78,1410,1215
0.103,234.1,1410,1215
0.113,234.1,1410,1215
0.123,234.1,1410,1215
0.133,234.1,1410,1215
0.144,234.1,1410,1215
0.154,234.1,1410,1215
0.164,234.1,1410,1215
0.174,234.1,1410,1215
0.185,234.1,1410,1215
0.195,234.1,1410,1215
0.205,247.14,1410,1215
0.215,247.14,1410,1215
0.226,247.14,1410,1215
0.236,247.14,1410,1215
0.246,247.14,1410,1215
0.256,247.14,1410,1215
0.266,247.14,1410,1215
0.277,247.14,1410,1215
0.287,247.14,1410,1215
0.297,249.46,1410,1215
0.307,249.46,1410,1215
0.318,249.46,1410,1215
0.328,249.46,1410,1215
0.338,249.46,1410,1215
0.349,249.46,1410,1215
0.359,249.46,1410,1215
0.369,249.46,1410,1215
0.38,249.46,1410,1215
0.39,249.46,1410,1215
0.4,249.19,1410,1215
0.41,249.19,1410,1215
0.42,249.19,1410,1215
0.43,249.19,1410,1215
0.44,249.19,1410,1215
0.45,249.19,1410,1215
0.461,249.19,1410,1215
0.471,249.19,1410,1215
0.481,249.19,1410,1215
0.491,249.19,1410,1215
0.501,250.65,1410,1215
0.511,250.65,1410,1215
0.522,250.65,1410,1215
0.532,250.65,1410,1215
0.542,250.65,1410,1215
0.552,250.65,1410,1215
0.562,250.65,1410,1215
0.573,250.65,1410,1215
0.583,250.65,1410,1215
0.593,250.65,1410,1215
0.603,251.23,1410,1215
0.614,251.23,1410,1215
0.624,251.23,1410,1215
0.634,251.23,1410,1215
0.644,251.23,1410,1215
0.655,251.23,1410,1215
0.665,251.23,1410,1215
0.675,251.23,1410,1215
0.685,251.23,1410,1215
0.696,251.23,1410,1215
0.706,251.23,1410,1215
0.716,251.23,1410,1215
0.727,251.23,1410,1215
0.737,251.23,1410,1215
0.747,251.23,1410,1215
0.757,251.23,1410,1215
0.768,251.23,1410,1215
0.778,251.23,1410,1215
0.788,251.23,1410,1215
0.798,247.47,1410,1215
0.809,247.47,1410,1215
0.819,247.47,1410,1215
0.829,247.47,1410,1215
0.839,247.47,1410,1215
0.849,247.47,1410,1215
0.86,247.47,1410,1215
0.87,247.47,1410,1215
0.88,247.47,1410,1215
0.89,247.47,1410,1215
0.901,250.65,1410,1215
0.911,250.65,1410,1215
0.921,250.65,1410,1215
0.931,250.65,1410,1215
0.941,250.65,1410,1215
0.952,250.65,1410,1215
0.962,250.65,1410,1215
0.972,250.65,1410,1215
0.982,250.65,1410,1215
0.993,250.65,1410,1215
1.003,250.65,1410,1215
1.014,250.65,1410,1215
1.024,250.65,1410,1215
1.034,250.65,1410,1215
1.044,250.65,1410,1215
1.055,250.65,1410,1215
1.065,250.65,1410,1215
1.075,250.65,1410,1215
1.085,250.65,1410,1215
1.096,250.65,1410,1215
1.106,250.91,1410,1215
1.116,250.91,1410,1215
1.126,250.91,1410,1215
1.137,250.91,1410,1215
1.147,250.91,1410,1215
1.157,250.91,1410,1215
1.168,250.91,1410,1215
1.178,250.91,1410,1215
1.188,250.91,1410,1215
1.198,245.43,1410,1215
1.209,245.43,1410,1215
1.219,245.43,1410,1215
1.229,245.43,1410,1215
1.239,245.43,1410,1215
1.25,245.43,1410,1215
1.26,245.43,1410,1215
1.27,245.43,1410,1215
1.28,245.43,1410,1215
1.29,245.43,1410,1215
1.301,251.77,1410,1215
1.311,251.77,1410,1215
1.321,251.77,1410,1215
1.332,251.77,1410,1215
1.342,251.77,1410,1215
1.352,251.77,1410,1215
1.362,251.77,1410,1215
1.373,251.77,1410,1215
1.383,251.77,1410,1215
1.393,251.77,1410,1215
1.403,244.56,1410,1215
1.414,244.56,1410,1215
1.424,244.56,1410,1215
1.434,244.56,1410,1215
1.444,244.56,1410,1215
1.455,244.56,1410,1215
1.465,244.56,1410,1215
1.475,244.56,1410,1215
1.486,244.56,1410,1215
1.496,244.56,1410,1215
1.506,250.63,1410,1215
1.516,250.63,1410,1215
1.527,250.63,1410,1215
1.537,250.63,1410,1215
1.547,250.63,1410,1215
1.558,250.63,1410,1215
1.568,250.63,1410,1215
1.578,250.63,1410,1215
1.588,250.63,1410,1215
1.599,250.38,1410,1215
1.609,250.38,1410,1215
1.619,250.38,1410,1215
1.629,250.38,1410,1215
1.64,250.38,1410,1215
1.65,250.38,1410,1215
1.66,250.38,1410,1215
1.67,250.38,1410,1215
1.681,250.38,1410,1215
1.691,250.38,1410,1215
1.701,250.37,1410,1215
1.712,250.37,1410,1215
1.722,250.37,1410,1215
1.732,250.37,1410,1215
1.742,250.37,1410,1215
1.753,250.37,1410,1215
1.763,250.37,1410,1215
1.773,250.37,1410,1215
1.783,250.37,1410,1215
1.794,250.37,1410,1215
1.804,252.69,1410,1215
1.814,252.69,1410,1215
1.824,252.69,1410,1215
1.835,252.69,1410,1215
1.845,252.69,1410,1215
1.855,252.69,1410,1215
1.865,252.69,1410,1215
1.876,252.69,1410,1215
1.886,252.69,1410,1215
1.896,252.69,1410,1215
1.906,250.37,1410,1215
1.917,250.37,1410,1215
1.927,250.37,1410,1215
1.937,250.37,1410,1215
1.948,250.37,1410,1215
1.958,250.37,1410,1215
1.968,250.37,1410,1215
1.978,250.37,1410,1215
1.989,250.37,1410,1215
1.999,247.47,1410,1215
2.009,247.47,1410,1215
2.019,247.47,1410,1215
2.03,247.47,1410,1215
2.04,247.47,1410,1215
2.051,247.47,1410,1215
2.061,247.47,1410,1215
2.071,247.47,1410,1215
2.081,247.47,1410,1215
2.092,247.47,1410,1215
2.102,249.19,1410,1215
2.112,249.19,1410,1215
2.122,249.19,1410,1215
2.133,249.19,1410,1215
2.143,249.19,1410,1215
2.153,249.19,1410,1215
2.164,249.19,1410,1215
2.174,249.19,1410,1215
2.184,249.19,1410,1215
2.194,249.19,1410,1215
2.205,243.18,1410,1215
2.216,243.18,1410,1215
2.226,243.18,1410,1215
2.236,243.18,1410,1215
2.246,243.18,1410,1215
2.257,243.18,1410,1215
2.267,243.18,1410,1215
2.277,243.18,1410,1215
2.287,243.18,1410,1215
2.298,249.46,1410,1215
2.308,249.46,1410,1215
2.318,249.46,1410,1215
2.329,249.46,1410,1215
2.339,249.46,1410,1215
2.35,249.46,1410,1215
2.36,249.46,1410,1215
2.37,249.46,1410,1215
2.381,249.46,1410,1215
2.391,249.46,1410,1215
2.401,246.61,1410,1215
2.411,246.61,1410,1215
2.422,246.61,1410,1215
2.432,246.61,1410,1215
2.442,246.61,1410,1215
2.452,246.61,1410,1215
2.462,246.61,1410,1215
2.472,246.61,1410,1215
2.483,246.61,1410,1215
2.493,246.61,1410,1215
2.503,248.33,1410,1215
2.514,248.33,1410,1215
2.524,248.33,1410,1215
2.534,248.33,1410,1215
2.544,248.33,1410,1215
