status,error,run_timestamp_utc,model,batch_size,variant,dtype,steps_per_run,repeat,warmup,probe_repeat,target_timed_seconds,total_time_s,iter_time_ms,probe_iter_ms,gemm_total_ms,gemm_iter_time_ms,gemm_tflops_s_raw,effective_tflops_s,gemm_flops_per_step,attention_flops_per_step,effective_flops_per_step,avg_power_watts,max_power_watts,avg_gpu_clock_mhz,max_gpu_clock_mhz,monitor_sample_count,monitor_csv,timeline_plot,kernel_profile_csv,kernel_profile_error,hidden_size,intermediate_size,num_layers,canonical_num_layers,num_heads,num_kv_heads,head_dim,q_size,kv_size,rope_theta,eps,description
ok,,2026-04-27T14:54:58.232465Z,7B,32,without_norm,bfloat16,1,7297,20,10,3.0,2.774016315001063,0.3801584644375857,0.41114940540865064,2776.5115249976516,0.38050041455360445,34.039412985121295,34.092786867640235,12952010752.0,8650752.0,12960661504.0,227.71730627306272,245.17,1380.9409594095941,1410.0,271,/home/cage/wattserve/results/state_chain_block_sweep/20260427T145456Z/monitor/7B__batch_size=32__without_norm.csv,/home/cage/wattserve/results/state_chain_block_sweep/20260427T145456Z/plots/timeline/7B__batch_size=32.png,/home/cage/wattserve/results/state_chain_block_sweep/20260427T145456Z/kernel_profile/7B__batch_size=32__without_norm.csv,,4096,11008,32,32,32,32,128,4096,4096,10000.0,1e-06,state-chain full block: q/k/v -> RoPE -> causal attention -> o -> optional fused_add_norm_1 -> gate/up -> silu_and_mul -> down -> optional fused_add_norm_2
ok,,2026-04-27T14:55:05.447983Z,7B,32,with_norm,bfloat16,1,6350,20,10,3.0,3.0716735989553854,0.4837281258197457,0.47242320142686367,2641.4550077207386,0.41597716657019507,31.13635024439348,26.793276661422833,12952010752.0,8650752.0,12960661504.0,220.5241137123746,238.81,1410.0,1410.0,299,/home/cage/wattserve/results/state_chain_block_sweep/20260427T145456Z/monitor/7B__batch_size=32__with_norm.csv,/home/cage/wattserve/results/state_chain_block_sweep/20260427T145456Z/plots/timeline/7B__batch_size=32.png,/home/cage/wattserve/results/state_chain_block_sweep/20260427T145456Z/kernel_profile/7B__batch_size=32__with_norm.csv,,4096,11008,32,32,32,32,128,4096,4096,10000.0,1e-06,state-chain full block: q/k/v -> RoPE -> causal attention -> o -> optional fused_add_norm_1 -> gate/up -> silu_and_mul -> down -> optional fused_add_norm_2
ok,,2026-04-27T14:55:13.737627Z,7B,64,without_norm,bfloat16,1,6326,20,10,3.0,2.550706250942312,0.403209966952626,0.4742703982628882,2582.512512564659,0.40823782999757496,63.45326082140373,64.32901552517308,25904021504.0,34078720.0,25938100224.0,244.1521686746988,252.69,1410.0,1410.0,249,/home/cage/wattserve/results/state_chain_block_sweep/20260427T145456Z/monitor/7B__batch_size=64__without_norm.csv,/home/cage/wattserve/results/state_chain_block_sweep/20260427T145456Z/plots/timeline/7B__batch_size=64.png,/home/cage/wattserve/results/state_chain_block_sweep/20260427T145456Z/kernel_profile/7B__batch_size=64__without_norm.csv,,4096,11008,32,32,32,32,128,4096,4096,10000.0,1e-06,state-chain full block: q/k/v -> RoPE -> causal attention -> o -> optional fused_add_norm_1 -> gate/up -> silu_and_mul -> down -> optional fused_add_norm_2
ok,,2026-04-27T14:55:20.258469Z,7B,64,with_norm,bfloat16,1,7336,20,10,3.0,2.9493381889769807,0.4020362853022057,0.4089555935934186,3057.4708160981536,0.41677628354664037,62.15330028754179,64.51681395997043,25904021504.0,34078720.0,25938100224.0,284.7135640138408,294.0,1410.0,1410.0,289,/home/cage/wattserve/results/state_chain_block_sweep/20260427T145456Z/monitor/7B__batch_size=64__with_norm.csv,/home/cage/wattserve/results/state_chain_block_sweep/20260427T145456Z/plots/timeline/7B__batch_size=64.png,/home/cage/wattserve/results/state_chain_block_sweep/20260427T145456Z/kernel_profile/7B__batch_size=64__with_norm.csv,,4096,11008,32,32,32,32,128,4096,4096,10000.0,1e-06,state-chain full block: q/k/v -> RoPE -> causal attention -> o -> optional fused_add_norm_1 -> gate/up -> silu_and_mul -> down -> optional fused_add_norm_2
ok,,2026-04-27T14:55:28.074425Z,7B,128,without_norm,bfloat16,1,6272,20,10,3.0,2.973531782045029,0.4740962662699345,0.47828370006754994,2891.4116478711367,0.4610031326325154,112.38110837155271,109.56278926361598,51808043008.0,135266304.0,51943309312.0,257.173698630137,262.79,1410.0,1410.0,292,/home/cage/wattserve/results/state_chain_block_sweep/20260427T145456Z/monitor/7B__batch_size=128__without_norm.csv,/home/cage/wattserve/results/state_chain_block_sweep/20260427T145456Z/plots/timeline/7B__batch_size=128.png,/home/cage/wattserve/results/state_chain_block_sweep/20260427T145456Z/kernel_profile/7B__batch_size=128__without_norm.csv,,4096,11008,32,32,32,32,128,4096,4096,10000.0,1e-06,state-chain full block: q/k/v -> RoPE -> causal attention -> o -> optional fused_add_norm_1 -> gate/up -> silu_and_mul -> down -> optional fused_add_norm_2
ok,,2026-04-27T14:55:35.068272Z,7B,128,with_norm,bfloat16,1,6121,20,10,3.0,3.208927945001051,0.524248969939724,0.4901274922303855,2929.256224691868,0.47855844219765853,108.25854992774691,99.08137600722846,51808043008.0,135266304.0,51943309312.0,297.1776996805112,327.56,1410.0,1410.0,313,/home/cage/wattserve/results/state_chain_block_sweep/20260427T145456Z/monitor/7B__batch_size=128__with_norm.csv,/home/cage/wattserve/results/state_chain_block_sweep/20260427T145456Z/plots/timeline/7B__batch_size=128.png,/home/cage/wattserve/results/state_chain_block_sweep/20260427T145456Z/kernel_profile/7B__batch_size=128__with_norm.csv,,4096,11008,32,32,32,32,128,4096,4096,10000.0,1e-06,state-chain full block: q/k/v -> RoPE -> causal attention -> o -> optional fused_add_norm_1 -> gate/up -> silu_and_mul -> down -> optional fused_add_norm_2
ok,,2026-04-27T14:55:42.372410Z,7B,256,without_norm,bfloat16,1,4888,20,10,3.0,2.979654437978752,0.6095856051511358,0.6137041025795043,2788.892122991383,0.5705589449655039,181.60452470386676,170.86206301439256,103616086016.0,538968064.0,104155054080.0,293.864897260274,301.8,1410.0,1410.0,292,/home/cage/wattserve/results/state_chain_block_sweep/20260427T145456Z/monitor/7B__batch_size=256__without_norm.csv,/home/cage/wattserve/results/state_chain_block_sweep/20260427T145456Z/plots/timeline/7B__batch_size=256.png,/home/cage/wattserve/results/state_chain_block_sweep/20260427T145456Z/kernel_profile/7B__batch_size=256__without_norm.csv,,4096,11008,32,32,32,32,128,4096,4096,10000.0,1e-06,state-chain full block: q/k/v -> RoPE -> causal attention -> o -> optional fused_add_norm_1 -> gate/up -> silu_and_mul -> down -> optional fused_add_norm_2
ok,,2026-04-27T14:55:48.845757Z,7B,256,with_norm,bfloat16,1,4767,20,10,3.0,2.992716455948539,0.627798711128286,0.6292772013694048,2741.8561568558216,0.5751743563783976,180.147262942009,165.90517347958794,103616086016.0,538968064.0,104155054080.0,389.16809523809525,410.23,1403.9285714285713,1410.0,294,/home/cage/wattserve/results/state_chain_block_sweep/20260427T145456Z/monitor/7B__batch_size=256__with_norm.csv,/home/cage/wattserve/results/state_chain_block_sweep/20260427T145456Z/plots/timeline/7B__batch_size=256.png,/home/cage/wattserve/results/state_chain_block_sweep/20260427T145456Z/kernel_profile/7B__batch_size=256__with_norm.csv,,4096,11008,32,32,32,32,128,4096,4096,10000.0,1e-06,state-chain full block: q/k/v -> RoPE -> causal attention -> o -> optional fused_add_norm_1 -> gate/up -> silu_and_mul -> down -> optional fused_add_norm_2
ok,,2026-04-27T14:55:55.527580Z,7B,512,without_norm,bfloat16,1,2732,20,10,3.0,2.9987143160542473,1.097626030766562,1.0982355917803943,2701.260286472738,0.9887482746971954,209.59042593066968,190.76064535183275,207232172032.0,2151677952.0,209383849984.0,297.1988813559322,307.28,1410.0,1410.0,295,/home/cage/wattserve/results/state_chain_block_sweep/20260427T145456Z/monitor/7B__batch_size=512__without_norm.csv,/home/cage/wattserve/results/state_chain_block_sweep/20260427T145456Z/plots/timeline/7B__batch_size=512.png,/home/cage/wattserve/results/state_chain_block_sweep/20260427T145456Z/kernel_profile/7B__batch_size=512__without_norm.csv,,4096,11008,32,32,32,32,128,4096,4096,10000.0,1e-06,state-chain full block: q/k/v -> RoPE -> causal attention -> o -> optional fused_add_norm_1 -> gate/up -> silu_and_mul -> down -> optional fused_add_norm_2
ok,,2026-04-27T14:56:01.854276Z,7B,512,with_norm,bfloat16,1,2670,20,10,3.0,3.0307270949706435,1.1351037808878814,1.123573596123606,2671.4981167018414,1.0005610923976933,207.11596084093122,184.4622963199183,207232172032.0,2151677952.0,209383849984.0,391.513322147651,418.01,1389.7147651006712,1410.0,298,/home/cage/wattserve/results/state_chain_block_sweep/20260427T145456Z/monitor/7B__batch_size=512__with_norm.csv,/home/cage/wattserve/results/state_chain_block_sweep/20260427T145456Z/plots/timeline/7B__batch_size=512.png,/home/cage/wattserve/results/state_chain_block_sweep/20260427T145456Z/kernel_profile/7B__batch_size=512__with_norm.csv,,4096,11008,32,32,32,32,128,4096,4096,10000.0,1e-06,state-chain full block: q/k/v -> RoPE -> causal attention -> o -> optional fused_add_norm_1 -> gate/up -> silu_and_mul -> down -> optional fused_add_norm_2
