shape_name,target_gemm_phase_ms,estimated_gemm_unit_ms,requested_gemm_steps,status,error,run_timestamp_utc,m,n,k,dtype,gemm_steps_per_phase,norm_steps_per_phase,cycles,target_active_s,analysis_window_s,probe_cycle_ms,active_cuda_ms,active_wall_s,tail_start_cuda_ms,tail_end_cuda_ms,tail_window_cuda_ms,gemm_phase_count_total,norm_phase_count_total,gemm_phase_count_tail,norm_phase_count_tail,gemm_phase_cuda_total_ms_tail,norm_phase_cuda_total_ms_tail,avg_gemm_phase_ms_tail,avg_norm_phase_ms_tail,gemm_units_tail,norm_units_tail,gemm_flops_per_unit,gemm_tflops_s_tail,avg_power_watts_tail,max_power_watts_tail,min_power_watts_tail,avg_gpu_clock_mhz_tail,max_gpu_clock_mhz_tail,min_gpu_clock_mhz_tail,monitor_sample_count_tail,avg_gemm_phase_power_watts_tail,avg_norm_phase_power_watts_tail,avg_gemm_phase_clock_mhz_tail,avg_norm_phase_clock_mhz_tail,monitor_csv,phase_events_csv,eps,source_run
llama13b_s8192,20.0,7.8919677734375,3,ok,,2026-04-29T11:41:31.409113Z,8192,5120,13824,bfloat16,3,1,1703,30.0,20.0,26.429439544677734,45655.328125,45.65548610687256,25655.328125,45655.328125,20000.0,1703,1703,746,747,19796.52802658081,180.66636963188648,26.53690083992066,0.2418559165085495,2238,747,2319282339840.0,262.19516218159873,398.6132382892057,409.79,380.62,1255.302953156823,1260.0,1230.0,1964,398.59860142984803,397.24666666666667,1255.3351206434315,1256.0,/home/cage/wattserve/results/two_gemm_norm_shape_n1_sweep/20260429T112339Z/llama13b_s8192/monitor/g3_n1.csv,/home/cage/wattserve/results/two_gemm_norm_shape_n1_sweep/20260429T112339Z/llama13b_s8192/phase_events/g3_n1.csv,1e-06,20260429T112339Z
llama13b_s8192,40.0,7.8919677734375,5,ok,,2026-04-29T11:42:19.581600Z,8192,5120,13824,bfloat16,5,1,884,30.0,20.0,50.92659378051758,39319.7734375,39.31992554664612,19319.7734375,39319.7734375,20000.0,884,884,449,450,19845.167057037354,108.8849927932024,44.198590327477405,0.2419666506515609,2245,450,2319282339840.0,262.3706234357148,398.43311767702494,409.64,377.18,1256.2404482934285,1260.0,1245.0,1963,398.4541614699332,396.26222222222225,1256.281737193764,1253.3333333333333,/home/cage/wattserve/results/two_gemm_norm_shape_n1_sweep/20260429T112339Z/llama13b_s8192/monitor/g5_n1.csv,/home/cage/wattserve/results/two_gemm_norm_shape_n1_sweep/20260429T112339Z/llama13b_s8192/phase_events/g5_n1.csv,1e-06,20260429T112339Z
llama13b_s8192,60.0,7.8919677734375,8,ok,,2026-04-29T11:43:00.655140Z,8192,5120,13824,bfloat16,8,1,659,30.0,20.0,68.3868179321289,46777.69140625,46.77787232398987,26777.69140625,46777.69140625,20000.0,659,659,281,282,19867.190322875977,68.19020849466324,70.70174492126682,0.2418092499810753,2248,282,2319282339840.0,262.4299971575235,398.7406561546287,407.75,382.66,1256.5818921668363,1260.0,1245.0,1966,398.74918954414505,397.8,1256.6335155058464,1254.0,/home/cage/wattserve/results/two_gemm_norm_shape_n1_sweep/20260429T112339Z/llama13b_s8192/monitor/g8_n1.csv,/home/cage/wattserve/results/two_gemm_norm_shape_n1_sweep/20260429T112339Z/llama13b_s8192/phase_events/g8_n1.csv,1e-06,20260429T112339Z
llama13b_s8192,80.0,7.8919677734375,10,ok,,2026-04-29T11:43:49.137726Z,8192,5120,13824,bfloat16,10,1,510,30.0,20.0,88.31283569335938,45061.8828125,45.06208539009094,25061.8828125,45061.8828125,20000.0,510,510,226,227,19912.154098510742,54.840320482850075,88.10687654208293,0.24158731490242324,2260,227,2319282339840.0,263.2351106819942,397.44514256619146,402.86,389.46,1260.0,1260.0,1260.0,1964,397.444244100295,397.65363636363634,1260.0,1260.0,/home/cage/wattserve/results/two_gemm_norm_shape_n1_sweep/20260429T112339Z/llama13b_s8192/monitor/g10_n1.csv,/home/cage/wattserve/results/two_gemm_norm_shape_n1_sweep/20260429T112339Z/llama13b_s8192/phase_events/g10_n1.csv,1e-06,20260429T112339Z
llama13b_s8192,100.0,7.8919677734375,13,ok,,2026-04-29T11:44:35.784410Z,8192,5120,13824,bfloat16,13,1,394,30.0,20.0,114.47296142578125,45249.27734375,45.24946665763855,25249.27734375,45249.27734375,20000.0,394,394,174,175,19943.50895690918,42.29529631137848,114.61786756844356,0.2416874074935913,2262,175,2319282339840.0,263.053841931893,398.70248089658685,404.91,385.24,1259.021905247071,1260.0,1245.0,1963,398.7074433995124,398.87000000000006,1259.0432340647858,1260.0,/home/cage/wattserve/results/two_gemm_norm_shape_n1_sweep/20260429T112339Z/llama13b_s8192/monitor/g13_n1.csv,/home/cage/wattserve/results/two_gemm_norm_shape_n1_sweep/20260429T112339Z/llama13b_s8192/phase_events/g13_n1.csv,1e-06,20260429T112339Z
llama13b_s8192,120.0,8.659285227457682,14,ok,,2026-04-29T09:05:25.639676Z,8192,5120,13824,bfloat16,14,1,328,30.0,20.0,137.3675537109375,40533.17578125,40.53342366218567,20533.17578125,40533.17578125,20000.0,328,328,161,162,19860.789260864258,39.172096252441406,123.35893950847365,0.24180306328667533,2254,162,2319282339840.0,263.21523909930823,398.05081975560086,404.31,389.87,1260.0,1260.0,1260.0,1964,398.0434452142061,394.93333333333334,1260.0,1260.0,/home/cage/wattserve/results/two_gemm_norm_shape_n1_sweep/20260429T084814Z/llama13b_s8192/monitor/g14_n1.csv,/home/cage/wattserve/results/two_gemm_norm_shape_n1_sweep/20260429T084814Z/llama13b_s8192/phase_events/g14_n1.csv,1e-06,20260429T084814Z
llama13b_s8192,120.0,7.8919677734375,15,ok,,2026-04-29T11:45:22.536805Z,8192,5120,13824,bfloat16,15,1,340,30.0,20.0,132.39602661132812,45042.6875,45.04286980628967,25042.6875,45042.6875,20000.0,340,340,151,152,19954.579483032227,36.74316842854023,132.1495330002134,0.24173137124039626,2265,152,2319282339840.0,263.2565875018553,398.32976057055527,404.75,391.32,1260.0,1260.0,1260.0,1963,398.33300657399997,397.8666666666666,1260.0,1260.0,/home/cage/wattserve/results/two_gemm_norm_shape_n1_sweep/20260429T112339Z/llama13b_s8192/monitor/g15_n1.csv,/home/cage/wattserve/results/two_gemm_norm_shape_n1_sweep/20260429T112339Z/llama13b_s8192/phase_events/g15_n1.csv,1e-06,20260429T112339Z
llama13b_s8192,150.0,7.8919677734375,19,ok,,2026-04-29T11:46:09.063955Z,8192,5120,13824,bfloat16,19,1,269,30.0,20.0,167.6615753173828,45089.4453125,45.089622020721436,25089.4453125,45089.4453125,20000.0,269,269,119,120,19916.72425842285,28.994560301303864,167.36743074304917,0.24162133584419887,2261,120,2319282339840.0,263.291156835722,398.05401221995925,409.36,392.49,1260.0,1260.0,1260.0,1964,398.05702761987146,399.6466666666667,1260.0,1260.0,/home/cage/wattserve/results/two_gemm_norm_shape_n1_sweep/20260429T112339Z/llama13b_s8192/monitor/g19_n1.csv,/home/cage/wattserve/results/two_gemm_norm_shape_n1_sweep/20260429T112339Z/llama13b_s8192/phase_events/g19_n1.csv,1e-06,20260429T112339Z
llama13b_s8192,180.0,7.8919677734375,23,ok,,2026-04-29T11:46:55.620072Z,8192,5120,13824,bfloat16,23,1,223,30.0,20.0,202.25228881835938,45260.37890625,45.26056885719299,25260.37890625,45260.37890625,20000.0,223,223,98,99,19854.44758605957,23.927808180451393,202.59640393938338,0.24169503212577165,2254,99,2319282339840.0,263.29931222412176,397.8092374173869,419.04,391.32,1260.1525165226233,1275.0,1260.0,1967,397.8055755971562,399.105,1260.1530612244899,1260.0,/home/cage/wattserve/results/two_gemm_norm_shape_n1_sweep/20260429T112339Z/llama13b_s8192/monitor/g23_n1.csv,/home/cage/wattserve/results/two_gemm_norm_shape_n1_sweep/20260429T112339Z/llama13b_s8192/phase_events/g23_n1.csv,1e-06,20260429T112339Z
llama13b_s8192,210.0,7.8919677734375,27,ok,,2026-04-29T11:47:42.367554Z,8192,5120,13824,bfloat16,27,1,191,30.0,20.0,236.48870849609375,45479.9453125,45.480128049850464,25479.9453125,45479.9453125,20000.0,191,191,83,84,19742.52442932129,20.298752188682556,237.8617401123047,0.24165181177003042,2241,84,2319282339840.0,263.26479889583806,398.2611150712831,405.44,390.63,1260.0,1260.0,1260.0,1964,398.26622097083987,0.0,1260.0,0.0,/home/cage/wattserve/results/two_gemm_norm_shape_n1_sweep/20260429T112339Z/llama13b_s8192/monitor/g27_n1.csv,/home/cage/wattserve/results/two_gemm_norm_shape_n1_sweep/20260429T112339Z/llama13b_s8192/phase_events/g27_n1.csv,1e-06,20260429T112339Z
