status,error,run_timestamp_utc,m,n,k,dtype,gemm_steps_per_phase,norm_steps_per_phase,cycles,target_active_s,analysis_window_s,probe_cycle_ms,active_cuda_ms,active_wall_s,tail_start_cuda_ms,tail_end_cuda_ms,tail_window_cuda_ms,gemm_phase_count_total,norm_phase_count_total,gemm_phase_count_tail,norm_phase_count_tail,gemm_phase_cuda_total_ms_tail,norm_phase_cuda_total_ms_tail,avg_gemm_phase_ms_tail,avg_norm_phase_ms_tail,gemm_units_tail,norm_units_tail,gemm_flops_per_unit,gemm_tflops_s_tail,avg_power_watts_tail,max_power_watts_tail,min_power_watts_tail,avg_gpu_clock_mhz_tail,max_gpu_clock_mhz_tail,min_gpu_clock_mhz_tail,monitor_sample_count_tail,avg_gemm_phase_power_watts_tail,avg_norm_phase_power_watts_tail,avg_gemm_phase_clock_mhz_tail,avg_norm_phase_clock_mhz_tail,monitor_csv,phase_events_csv,eps
ok,,2026-04-28T17:03:50.102296Z,8192,8192,32768,bfloat16,1,0,1171,32.0,20.0,32.79769515991211,34831.9765625,34.83204889297485,14831.9765625,34831.9765625,20000.0,1171,0,674,0,19969.987562179565,0,29.629061664954843,0.0,674,0,8796093022208.0,296.8738302169046,391.91008655804484,396.62,384.78,1410.0,1410.0,1410.0,1964,391.9161102868447,0.0,1410.0,0.0,/home/cage/wattserve/results/two_gemm_norm_steady_window_sweep/20260428T170350Z/monitor/g1_n0.csv,/home/cage/wattserve/results/two_gemm_norm_steady_window_sweep/20260428T170350Z/phase_events/g1_n0.csv,1e-06
ok,,2026-04-28T17:04:26.107459Z,8192,8192,32768,bfloat16,2,0,580,32.0,20.0,66.26918029785156,34495.74609375,34.49585032463074,14495.74609375,34495.74609375,20000.0,580,0,337,0,19960.72650909424,0,59.23064246022029,0.0,674,0,8796093022208.0,297.01156890592625,397.57569974554707,399.69,395.07,1410.0,1410.0,1410.0,1965,397.577803165183,0.0,1410.0,0.0,/home/cage/wattserve/results/two_gemm_norm_steady_window_sweep/20260428T170350Z/monitor/g2_n0.csv,/home/cage/wattserve/results/two_gemm_norm_steady_window_sweep/20260428T170350Z/phase_events/g2_n0.csv,1e-06
ok,,2026-04-28T17:05:01.186279Z,8192,8192,32768,bfloat16,4,0,290,32.0,20.0,132.49740600585938,34486.15234375,34.4862961769104,14486.15234375,34486.15234375,20000.0,290,0,168,0,19898.023933410645,0,118.44061865125384,0.0,672,0,8796093022208.0,297.06339336534296,399.1760692464359,400.82,397.38,1410.0,1410.0,1410.0,1964,399.1807300685426,0.0,1410.0,0.0,/home/cage/wattserve/results/two_gemm_norm_steady_window_sweep/20260428T170350Z/monitor/g4_n0.csv,/home/cage/wattserve/results/two_gemm_norm_steady_window_sweep/20260428T170350Z/phase_events/g4_n0.csv,1e-06
ok,,2026-04-28T17:05:36.284237Z,8192,8192,32768,bfloat16,8,0,145,32.0,20.0,264.9507751464844,34476.21875,34.47636151313782,14476.21875,34476.21875,20000.0,145,0,84,0,19904.871383666992,0,236.9627545674642,0.0,672,0,8796093022208.0,296.9612009537547,399.0890173116089,405.18,379.49,1409.4042769857433,1410.0,1395.0,1964,399.0845371808143,0.0,1409.4050854037266,0.0,/home/cage/wattserve/results/two_gemm_norm_steady_window_sweep/20260428T170350Z/monitor/g8_n0.csv,/home/cage/wattserve/results/two_gemm_norm_steady_window_sweep/20260428T170350Z/phase_events/g8_n0.csv,1e-06
ok,,2026-04-28T17:06:11.412373Z,8192,8192,32768,bfloat16,12,0,97,32.0,20.0,397.3621826171875,34606.09375,34.6062912940979,14606.09375,34606.09375,20000.0,97,0,56,0,19916.70361328125,0,355.6554216657366,0.0,672,0,8796093022208.0,296.7847805387887,398.517067209776,406.04,379.76,1408.3655804480652,1410.0,1395.0,1964,398.50642767106837,0.0,1408.359993997599,0.0,/home/cage/wattserve/results/two_gemm_norm_steady_window_sweep/20260428T170350Z/monitor/g12_n0.csv,/home/cage/wattserve/results/two_gemm_norm_steady_window_sweep/20260428T170350Z/phase_events/g12_n0.csv,1e-06
ok,,2026-04-28T17:06:46.803828Z,8192,8192,32768,bfloat16,16,0,73,32.0,20.0,529.924072265625,34710.6484375,34.710798263549805,14710.6484375,34710.6484375,20000.0,73,0,42,0,19917.978729248047,0,474.23758879162017,0.0,672,0,8796093022208.0,296.76578086931863,398.4032654100866,405.18,374.28,1408.3341823739174,1410.0,1395.0,1963,398.39688075415177,0.0,1408.330084577772,0.0,/home/cage/wattserve/results/two_gemm_norm_steady_window_sweep/20260428T170350Z/monitor/g16_n0.csv,/home/cage/wattserve/results/two_gemm_norm_steady_window_sweep/20260428T170350Z/phase_events/g16_n0.csv,1e-06
ok,,2026-04-28T17:07:22.419605Z,8192,8192,32768,bfloat16,18,0,64,32.0,20.0,601.6419677734375,34228.6328125,34.22870707511902,14228.6328125,34228.6328125,20000.0,64,0,37,0,19741.801513671875,0,533.5622030722128,0.0,666,0,8796093022208.0,296.7407988948488,398.4239095068632,406.62,380.62,1408.0630401626843,1410.0,1395.0,1967,398.4741807555015,0.0,1408.1193366806574,0.0,/home/cage/wattserve/results/two_gemm_norm_steady_window_sweep/20260428T170350Z/monitor/g18_n0.csv,/home/cage/wattserve/results/two_gemm_norm_steady_window_sweep/20260428T170350Z/phase_events/g18_n0.csv,1e-06
ok,,2026-04-28T17:07:57.614758Z,8192,8192,32768,bfloat16,20,0,58,32.0,20.0,673.6476440429688,34469.546875,34.46972370147705,14469.546875,34469.546875,20000.0,58,0,33,0,19570.682861328125,0,593.050995797822,0.0,660,0,8796093022208.0,296.638673049516,398.71122075279754,406.62,375.14,1407.9781281790438,1410.0,1395.0,1966,398.6591099481076,0.0,1407.9342224111365,0.0,/home/cage/wattserve/results/two_gemm_norm_steady_window_sweep/20260428T170350Z/monitor/g20_n0.csv,/home/cage/wattserve/results/two_gemm_norm_steady_window_sweep/20260428T170350Z/phase_events/g20_n0.csv,1e-06
ok,,2026-04-28T17:08:33.130667Z,8192,8192,32768,bfloat16,22,0,52,32.0,20.0,743.0635375976562,33978.91015625,33.97899842262268,13978.91015625,33978.91015625,20000.0,52,0,30,0,19562.304565429688,0,652.0768188476562,0.0,660,0,8796093022208.0,296.76571976680924,398.44691414141414,406.62,373.69,1408.121212121212,1410.0,1395.0,1980,398.48632612052296,0.0,1408.236057692308,0.0,/home/cage/wattserve/results/two_gemm_norm_steady_window_sweep/20260428T170350Z/monitor/g22_n0.csv,/home/cage/wattserve/results/two_gemm_norm_steady_window_sweep/20260428T170350Z/phase_events/g22_n0.csv,1e-06
ok,,2026-04-28T17:09:08.209750Z,8192,8192,32768,bfloat16,24,0,48,32.0,20.0,801.6005249023438,34202.69140625,34.202799797058105,14202.69140625,34202.69140625,20000.0,48,0,28,0,19915.24755859375,0,711.2588413783482,0.0,672,0,8796093022208.0,296.8064792331991,398.4119367991845,406.04,379.76,1408.5091743119267,1410.0,1395.0,1962,398.4014773735581,0.0,1408.5022182786158,0.0,/home/cage/wattserve/results/two_gemm_norm_steady_window_sweep/20260428T170350Z/monitor/g24_n0.csv,/home/cage/wattserve/results/two_gemm_norm_steady_window_sweep/20260428T170350Z/phase_events/g24_n0.csv,1e-06
