status,error,run_timestamp_utc,m,n,k,dtype,gemm_steps_per_phase,norm_steps_per_phase,cycles,target_active_s,analysis_window_s,probe_cycle_ms,active_cuda_ms,active_wall_s,tail_start_cuda_ms,tail_end_cuda_ms,tail_window_cuda_ms,gemm_phase_count_total,norm_phase_count_total,gemm_phase_count_tail,norm_phase_count_tail,gemm_phase_cuda_total_ms_tail,norm_phase_cuda_total_ms_tail,avg_gemm_phase_ms_tail,avg_norm_phase_ms_tail,gemm_units_tail,norm_units_tail,gemm_flops_per_unit,gemm_tflops_s_tail,avg_power_watts_tail,max_power_watts_tail,min_power_watts_tail,avg_gpu_clock_mhz_tail,max_gpu_clock_mhz_tail,min_gpu_clock_mhz_tail,monitor_sample_count_tail,avg_gemm_phase_power_watts_tail,avg_norm_phase_power_watts_tail,avg_gemm_phase_clock_mhz_tail,avg_norm_phase_clock_mhz_tail,monitor_csv,phase_events_csv,eps
ok,,2026-04-28T17:26:23.076968Z,8192,8192,32768,bfloat16,1,8,1076,32.0,20.0,35.70790481567383,38870.24609375,38.87026810646057,18870.24609375,38870.24609375,20000.0,1076,1076,553,554,18212.096981048584,1758.899225473404,32.933267596832884,3.174908349229971,553,4432,8796093022208.0,267.0883779249982,397.744193877551,436.93,359.07,1267.4005102040817,1290.0,1245.0,1960,397.7790039180229,397.50861878453037,1267.3372513562388,1267.2099447513813,/home/cage/wattserve/results/two_gemm_norm_steady_window_sweep/20260428T172623Z/monitor/g1_n8.csv,/home/cage/wattserve/results/two_gemm_norm_steady_window_sweep/20260428T172623Z/phase_events/g1_n8.csv,1e-06
ok,,2026-04-28T17:27:04.116567Z,8192,8192,32768,bfloat16,1,16,972,32.0,20.0,39.52742385864258,37959.3515625,37.959433794021606,17959.3515625,37959.3515625,20000.0,972,972,512,513,16706.320400238037,3261.677556037903,32.629532031714916,6.3580459182025395,512,8208,8796093022208.0,269.57459928197756,395.9379030612245,449.39,347.68,1278.0994897959183,1305.0,1260.0,1960,396.1093880208333,394.33139318885446,1278.02490234375,1279.3188854489165,/home/cage/wattserve/results/two_gemm_norm_steady_window_sweep/20260428T172623Z/monitor/g1_n16.csv,/home/cage/wattserve/results/two_gemm_norm_steady_window_sweep/20260428T172623Z/phase_events/g1_n16.csv,1e-06
ok,,2026-04-28T17:27:43.082643Z,8192,8192,32768,bfloat16,1,32,838,32.0,20.0,45.87724685668945,37529.4140625,37.52952527999878,17529.4140625,37529.4140625,20000.0,838,838,447,448,14291.195865631104,5701.44562625885,31.97135540409643,12.726441130042076,447,14336,8796093022208.0,275.1241826013099,388.7212404287902,458.04,319.44,1301.7993874425727,1335.0,1260.0,1959,388.7190958240119,389.22683035714283,1301.9183445190156,1301.1160714285713,/home/cage/wattserve/results/two_gemm_norm_steady_window_sweep/20260428T172623Z/monitor/g1_n32.csv,/home/cage/wattserve/results/two_gemm_norm_steady_window_sweep/20260428T172623Z/phase_events/g1_n32.csv,1e-06
ok,,2026-04-28T17:28:21.552648Z,8192,8192,32768,bfloat16,1,64,655,32.0,20.0,58.631168365478516,37104.171875,37.1042754650116,17104.171875,37104.171875,20000.0,655,655,353,353,10989.893629074097,8991.169542312622,31.132843141852966,25.47073524734454,353,22592,8796093022208.0,282.53420293577705,380.9093791348601,478.02,280.71,1326.6412213740457,1365.0,1260.0,1965,381.4699055712937,379.94782341831916,1325.4036827195469,1328.0240793201133,/home/cage/wattserve/results/two_gemm_norm_steady_window_sweep/20260428T172623Z/monitor/g1_n64.csv,/home/cage/wattserve/results/two_gemm_norm_steady_window_sweep/20260428T172623Z/phase_events/g1_n64.csv,1e-06
ok,,2026-04-28T17:28:59.478933Z,8192,8192,32768,bfloat16,1,128,457,32.0,20.0,84.12774658203125,37192.234375,37.1923348903656,17192.234375,37192.234375,20000.0,457,457,246,246,7459.184642791748,12537.01530456543,30.321888791836376,50.963476847826946,246,31488,8796093022208.0,290.0905376506819,370.71429153924566,538.61,265.65,1347.6223241590214,1395.0,1275.0,1962,367.55845528455285,372.33108943089434,1352.8556910569105,1344.3658536585365,/home/cage/wattserve/results/two_gemm_norm_steady_window_sweep/20260428T172623Z/monitor/g1_n128.csv,/home/cage/wattserve/results/two_gemm_norm_steady_window_sweep/20260428T172623Z/phase_events/g1_n128.csv,1e-06
ok,,2026-04-28T17:29:37.388976Z,8192,8192,32768,bfloat16,1,512,162,32.0,20.0,237.71136474609375,37926.7109375,37.92679262161255,17926.7109375,37926.7109375,20000.0,162,162,85,85,2551.8745651245117,17349.46405029297,30.022053707347197,204.11134176815258,85,43520,8796093022208.0,292.98771856021835,321.6496994396332,521.33,255.27,1381.8110035659704,1410.0,1275.0,1963,291.9073137254902,325.550380495356,1404.1764705882354,1378.4572091994692,/home/cage/wattserve/results/two_gemm_norm_steady_window_sweep/20260428T172623Z/monitor/g1_n512.csv,/home/cage/wattserve/results/two_gemm_norm_steady_window_sweep/20260428T172623Z/phase_events/g1_n512.csv,1e-06
ok,,2026-04-28T17:30:16.004898Z,8192,8192,32768,bfloat16,1,1024,87,32.0,20.0,441.459716796875,38130.7109375,38.130783796310425,18130.7109375,38130.7109375,20000.0,87,87,45,45,1347.6700134277344,18375.386199951172,29.94822252061632,408.34191555447046,45,46080,8796093022208.0,293.7100195563453,309.02722873153334,539.47,256.12,1395.1604686704025,1410.0,1275.0,1963,299.34355555555555,309.6358334688347,1409.2222222222222,1393.9532520325204,/home/cage/wattserve/results/two_gemm_norm_steady_window_sweep/20260428T172623Z/monitor/g1_n1024.csv,/home/cage/wattserve/results/two_gemm_norm_steady_window_sweep/20260428T172623Z/phase_events/g1_n1024.csv,1e-06
ok,,2026-04-28T17:30:54.985334Z,8192,8192,32768,bfloat16,1,2048,46,32.0,20.0,850.0223999023438,38949.55859375,38.94963192939758,18949.55859375,38949.55859375,20000.0,46,46,23,23,688.5744609832764,18786.07879638672,29.938020042751145,816.7860346255095,23,47104,8796093022208.0,293.8101120129949,302.74343352012227,529.97,272.87,1402.9164544065206,1410.0,1275.0,1963,297.4304347826087,303.15196517713366,1408.9130434782608,1402.4996980676328,/home/cage/wattserve/results/two_gemm_norm_steady_window_sweep/20260428T172623Z/monitor/g1_n2048.csv,/home/cage/wattserve/results/two_gemm_norm_steady_window_sweep/20260428T172623Z/phase_events/g1_n2048.csv,1e-06
ok,,2026-04-28T17:31:35.166258Z,8192,8192,32768,bfloat16,1,4096,24,32.0,20.0,1667.23583984375,39927.765625,39.92783045768738,19927.765625,39927.765625,20000.0,24,24,12,12,359.60319900512695,19604.658081054688,29.966933250427246,1633.7215067545574,12,49152,8796093022208.0,293.52663312928735,298.1360163015792,514.94,272.91,1405.7131940906775,1410.0,1290.0,1963,294.24833333333333,298.2180784808489,1410.0,1405.630725931677,/home/cage/wattserve/results/two_gemm_norm_steady_window_sweep/20260428T172623Z/monitor/g1_n4096.csv,/home/cage/wattserve/results/two_gemm_norm_steady_window_sweep/20260428T172623Z/phase_events/g1_n4096.csv,1e-06
ok,,2026-04-28T17:32:17.130168Z,8192,8192,32768,bfloat16,2,8,545,32.0,20.0,70.58432006835938,38158.0234375,38.158129930496216,18158.0234375,38158.0234375,20000.0,545,545,286,287,19077.524490356445,912.0307216644287,66.70463108516239,3.177807392558985,572,2296,8796093022208.0,263.7326038420915,397.95392566191447,425.96,356.44,1252.1563136456211,1275.0,1215.0,1964,397.9153787878788,399.2263440860215,1252.2477522477523,1252.258064516129,/home/cage/wattserve/results/two_gemm_norm_steady_window_sweep/20260428T172623Z/monitor/g2_n8.csv,/home/cage/wattserve/results/two_gemm_norm_steady_window_sweep/20260428T172623Z/phase_events/g2_n8.csv,1e-06
